,"Bronx County, New York","Kings County, New York",Label,"New York County, New York","Queens County, New York","Richmond County, New York / Estimate",race,year
66,0,0,"Farming, fishing, and forestry occupations",62,0,0.0,Asian Alone,2014
67,0,87,Construction and extraction occupations,117,126,0.0,Asian Alone,2014
68,0,185,"Installation, maintenance, and repair occupations",0,310,0.0,Asian Alone,2014
69,243,5636,"Production, transportation, and material moving occupations:",1141,6180,250.0,Asian Alone,2014
70,86,4984,Production occupations,1047,5108,211.0,Asian Alone,2014
71,0,143,Transportation occupations,0,349,0.0,Asian Alone,2014
72,157,509,Material moving occupations,94,723,39.0,Asian Alone,2014
0,23418,155487,Total:,110609,288735,18219.0,Asian Alone,2015
1,13451,80736,Male:,52905,158537,10225.0,Asian Alone,2015
2,4923,26090,"Management, business, science, and arts occupations:",34133,50590,3763.0,Asian Alone,2015
3,1626,9744,"Management, business, and financial occupations:",16879,22426,1331.0,Asian Alone,2015
4,1270,6704,Management occupations,8888,13589,297.0,Asian Alone,2015
5,356,3040,Business and financial operations occupations,7991,8837,1034.0,Asian Alone,2015
6,1091,7512,"Computer, engineering, and science occupations:",7977,13604,965.0,Asian Alone,2015
7,454,5352,Computer and mathematical occupations,4897,9338,370.0,Asian Alone,2015
8,388,1447,Architecture and engineering occupations,1380,3381,367.0,Asian Alone,2015
9,249,713,"Life, physical, and social science occupations",1700,885,228.0,Asian Alone,2015
10,1137,5743,"Education, legal, community service, arts, and media occupations:",6330,8486,715.0,Asian Alone,2015
11,170,318,Community and social service occupations,258,2021,239.0,Asian Alone,2015
12,203,1068,Legal occupations,657,654,100.0,Asian Alone,2015
13,611,1440,"Education, training, and library occupations",1392,3017,326.0,Asian Alone,2015
14,153,2917,"Arts, design, entertainment, sports, and media occupations",4023,2794,50.0,Asian Alone,2015
15,1069,3091,Healthcare practitioners and technical occupations:,2947,6074,752.0,Asian Alone,2015
16,736,2064,Health diagnosing and treating practitioners and other technical occupations,2917,4816,540.0,Asian Alone,2015
17,333,1027,Health technologists and technicians,30,1258,212.0,Asian Alone,2015
18,3745,18308,Service occupations:,6300,29001,1356.0,Asian Alone,2015
19,87,421,Healthcare support occupations,265,1733,311.0,Asian Alone,2015
20,470,1477,Protective service occupations:,652,3703,414.0,Asian Alone,2015
21,437,825,"Fire fighting and prevention, and other protective service workers including supervisors",652,1669,208.0,Asian Alone,2015
22,33,652,Law enforcement workers including supervisors,0,2034,206.0,Asian Alone,2015
23,2299,12584,Food preparation and serving related occupations,4535,17262,211.0,Asian Alone,2015
24,471,2026,Building and grounds cleaning and maintenance occupations,307,3207,168.0,Asian Alone,2015
25,418,1800,Personal care and service occupations,541,3096,252.0,Asian Alone,2015
26,1848,14871,Sales and office occupations:,8365,33073,2613.0,Asian Alone,2015
27,1098,7571,Sales and related occupations,5461,19996,1619.0,Asian Alone,2015
28,750,7300,Office and administrative support occupations,2904,13077,994.0,Asian Alone,2015
29,1016,8402,"Natural resources, construction, and maintenance occupations:",854,13480,699.0,Asian Alone,2015
30,0,301,"Farming, fishing, and forestry occupations",0,292,97.0,Asian Alone,2015
31,550,5746,Construction and extraction occupations,491,8390,400.0,Asian Alone,2015
32,466,2355,"Installation, maintenance, and repair occupations",363,4798,202.0,Asian Alone,2015
33,1919,13065,"Production, transportation, and material moving occupations:",3253,32393,1794.0,Asian Alone,2015
34,642,2832,Production occupations,470,6790,341.0,Asian Alone,2015
35,922,9253,Transportation occupations,2247,23510,1331.0,Asian Alone,2015
36,355,980,Material moving occupations,536,2093,122.0,Asian Alone,2015
37,9967,74751,Female:,57704,130198,7994.0,Asian Alone,2015
38,4298,29716,"Management, business, science, and arts occupations:",36221,54021,3613.0,Asian Alone,2015
39,754,12333,"Management, business, and financial occupations:",14326,18049,1225.0,Asian Alone,2015
40,309,5916,Management occupations,7608,8459,419.0,Asian Alone,2015
41,445,6417,Business and financial operations occupations,6718,9590,806.0,Asian Alone,2015
42,910,2616,"Computer, engineering, and science occupations:",4127,4896,58.0,Asian Alone,2015
43,550,1468,Computer and mathematical occupations,1888,3002,0.0,Asian Alone,2015
44,0,365,Architecture and engineering occupations,769,679,0.0,Asian Alone,2015
45,360,783,"Life, physical, and social science occupations",1470,1215,58.0,Asian Alone,2015
46,929,9982,"Education, legal, community service, arts, and media occupations:",11591,15281,324.0,Asian Alone,2015
47,58,640,Community and social service occupations,532,1072,179.0,Asian Alone,2015
48,172,1452,Legal occupations,1738,1236,0.0,Asian Alone,2015
49,526,4105,"Education, training, and library occupations",4633,7903,145.0,Asian Alone,2015
50,173,3785,"Arts, design, entertainment, sports, and media occupations",4688,5070,0.0,Asian Alone,2015
51,1705,4785,Healthcare practitioners and technical occupations:,6177,15795,2006.0,Asian Alone,2015
52,1342,3763,Health diagnosing and treating practitioners and other technical occupations,5237,12510,1571.0,Asian Alone,2015
53,363,1022,Health technologists and technicians,940,3285,435.0,Asian Alone,2015
54,2174,22150,Service occupations:,7694,32768,1961.0,Asian Alone,2015
55,686,7992,Healthcare support occupations,2078,7033,685.0,Asian Alone,2015
56,0,147,Protective service occupations:,679,844,366.0,Asian Alone,2015
57,0,147,"Fire fighting and prevention, and other protective service workers including supervisors",549,690,0.0,Asian Alone,2015
58,0,0,Law enforcement workers including supervisors,130,154,366.0,Asian Alone,2015
59,302,5985,Food preparation and serving related occupations,1649,4696,227.0,Asian Alone,2015
60,362,1532,Building and grounds cleaning and maintenance occupations,555,4648,237.0,Asian Alone,2015
61,824,6494,Personal care and service occupations,2733,15547,446.0,Asian Alone,2015
62,3008,18075,Sales and office occupations:,12827,38494,2159.0,Asian Alone,2015
63,1014,8237,Sales and related occupations,5550,16193,930.0,Asian Alone,2015
64,1994,9838,Office and administrative support occupations,7277,22301,1229.0,Asian Alone,2015
65,47,291,"Natural resources, construction, and maintenance occupations:",37,517,0.0,Asian Alone,2015
66,0,0,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2015
67,0,169,Construction and extraction occupations,0,355,0.0,Asian Alone,2015
68,47,122,"Installation, maintenance, and repair occupations",37,162,0.0,Asian Alone,2015
69,440,4519,"Production, transportation, and material moving occupations:",925,4398,261.0,Asian Alone,2015
70,381,3645,Production occupations,925,3034,208.0,Asian Alone,2015
71,59,298,Transportation occupations,0,886,0.0,Asian Alone,2015
72,0,576,Material moving occupations,0,478,53.0,Asian Alone,2015
0,24106,156450,Total:,113435,294131,19851.0,Asian Alone,2016
1,13489,80651,Male:,50793,160936,10130.0,Asian Alone,2016
2,3984,27312,"Management, business, science, and arts occupations:",32512,52169,4992.0,Asian Alone,2016
3,1148,10248,"Management, business, and financial occupations:",14859,22453,2421.0,Asian Alone,2016
4,723,6979,Management occupations,8643,14376,1459.0,Asian Alone,2016
5,425,3269,Business and financial operations occupations,6216,8077,962.0,Asian Alone,2016
6,717,8124,"Computer, engineering, and science occupations:",7523,12380,1445.0,Asian Alone,2016
7,565,5728,Computer and mathematical occupations,5778,7970,967.0,Asian Alone,2016
8,53,1936,Architecture and engineering occupations,1271,3160,323.0,Asian Alone,2016
9,99,460,"Life, physical, and social science occupations",474,1250,155.0,Asian Alone,2016
10,1107,5957,"Education, legal, community service, arts, and media occupations:",5462,9591,322.0,Asian Alone,2016
11,171,359,Community and social service occupations,231,1939,54.0,Asian Alone,2016
12,108,704,Legal occupations,1942,1083,0.0,Asian Alone,2016
13,727,2101,"Education, training, and library occupations",1567,4326,153.0,Asian Alone,2016
14,101,2793,"Arts, design, entertainment, sports, and media occupations",1722,2243,115.0,Asian Alone,2016
15,1012,2983,Healthcare practitioners and technical occupations:,4668,7745,804.0,Asian Alone,2016
16,656,2059,Health diagnosing and treating practitioners and other technical occupations,4179,6120,654.0,Asian Alone,2016
17,356,924,Health technologists and technicians,489,1625,150.0,Asian Alone,2016
18,4122,16492,Service occupations:,5933,33161,2028.0,Asian Alone,2016
19,536,1089,Healthcare support occupations,308,1793,316.0,Asian Alone,2016
20,469,1212,Protective service occupations:,438,4570,57.0,Asian Alone,2016
21,270,521,"Fire fighting and prevention, and other protective service workers including supervisors",438,3006,0.0,Asian Alone,2016
22,199,691,Law enforcement workers including supervisors,0,1564,57.0,Asian Alone,2016
23,1924,10712,Food preparation and serving related occupations,3914,19245,1174.0,Asian Alone,2016
24,430,1741,Building and grounds cleaning and maintenance occupations,584,3611,377.0,Asian Alone,2016
25,763,1738,Personal care and service occupations,689,3942,104.0,Asian Alone,2016
26,2400,14389,Sales and office occupations:,7835,32016,1523.0,Asian Alone,2016
27,1395,7964,Sales and related occupations,4909,16725,1012.0,Asian Alone,2016
28,1005,6425,Office and administrative support occupations,2926,15291,511.0,Asian Alone,2016
29,849,5972,"Natural resources, construction, and maintenance occupations:",1318,13331,631.0,Asian Alone,2016
30,0,66,"Farming, fishing, and forestry occupations",0,158,0.0,Asian Alone,2016
31,537,4490,Construction and extraction occupations,796,9010,266.0,Asian Alone,2016
32,312,1416,"Installation, maintenance, and repair occupations",522,4163,365.0,Asian Alone,2016
33,2134,16486,"Production, transportation, and material moving occupations:",3195,30259,956.0,Asian Alone,2016
34,385,3469,Production occupations,1623,5586,148.0,Asian Alone,2016
35,1469,11515,Transportation occupations,1572,22642,762.0,Asian Alone,2016
36,280,1502,Material moving occupations,0,2031,46.0,Asian Alone,2016
37,10617,75799,Female:,62642,133195,9721.0,Asian Alone,2016
38,5324,30452,"Management, business, science, and arts occupations:",40629,48449,5578.0,Asian Alone,2016
39,1885,11945,"Management, business, and financial occupations:",16646,15981,1930.0,Asian Alone,2016
40,1378,6642,Management occupations,8778,7778,1015.0,Asian Alone,2016
41,507,5303,Business and financial operations occupations,7868,8203,915.0,Asian Alone,2016
42,474,3084,"Computer, engineering, and science occupations:",5653,3721,365.0,Asian Alone,2016
43,240,1692,Computer and mathematical occupations,3176,2502,284.0,Asian Alone,2016
44,29,899,Architecture and engineering occupations,0,671,0.0,Asian Alone,2016
45,205,493,"Life, physical, and social science occupations",2477,548,81.0,Asian Alone,2016
46,1186,10399,"Education, legal, community service, arts, and media occupations:",11670,14258,907.0,Asian Alone,2016
47,76,694,Community and social service occupations,1000,2160,55.0,Asian Alone,2016
48,0,866,Legal occupations,2749,1702,53.0,Asian Alone,2016
49,818,4777,"Education, training, and library occupations",4085,7029,609.0,Asian Alone,2016
50,292,4062,"Arts, design, entertainment, sports, and media occupations",3836,3367,190.0,Asian Alone,2016
51,1779,5024,Healthcare practitioners and technical occupations:,6660,14489,2376.0,Asian Alone,2016
52,1451,4179,Health diagnosing and treating practitioners and other technical occupations,6044,12059,2012.0,Asian Alone,2016
53,328,845,Health technologists and technicians,616,2430,364.0,Asian Alone,2016
54,2438,20682,Service occupations:,8424,36945,1170.0,Asian Alone,2016
55,667,9052,Healthcare support occupations,2521,7619,357.0,Asian Alone,2016
56,0,280,Protective service occupations:,0,526,0.0,Asian Alone,2016
57,0,170,"Fire fighting and prevention, and other protective service workers including supervisors",0,428,0.0,Asian Alone,2016
58,0,110,Law enforcement workers including supervisors,0,98,0.0,Asian Alone,2016
59,336,4741,Food preparation and serving related occupations,1971,6080,42.0,Asian Alone,2016
60,734,1699,Building and grounds cleaning and maintenance occupations,1508,3591,280.0,Asian Alone,2016
61,701,4910,Personal care and service occupations,2424,19129,491.0,Asian Alone,2016
62,2470,19277,Sales and office occupations:,11823,40603,2320.0,Asian Alone,2016
63,1394,7767,Sales and related occupations,4686,18728,845.0,Asian Alone,2016
64,1076,11510,Office and administrative support occupations,7137,21875,1475.0,Asian Alone,2016
65,0,301,"Natural resources, construction, and maintenance occupations:",314,812,0.0,Asian Alone,2016
66,0,31,"Farming, fishing, and forestry occupations",0,309,0.0,Asian Alone,2016
67,0,62,Construction and extraction occupations,165,190,0.0,Asian Alone,2016
68,0,208,"Installation, maintenance, and repair occupations",149,313,0.0,Asian Alone,2016
69,385,5087,"Production, transportation, and material moving occupations:",1452,6386,653.0,Asian Alone,2016
70,313,4040,Production occupations,1113,4432,628.0,Asian Alone,2016
71,0,143,Transportation occupations,0,777,25.0,Asian Alone,2016
72,72,904,Material moving occupations,339,1177,0.0,Asian Alone,2016
0,25782,157908,Total:,119627,311177,,Asian Alone,2017
1,15065,81231,Male:,56074,171461,,Asian Alone,2017
2,3951,28563,"Management, business, science, and arts occupations:",34882,53555,,Asian Alone,2017
3,1961,11391,"Management, business, and financial occupations:",16815,25489,,Asian Alone,2017
4,1093,7068,Management occupations,9813,16509,,Asian Alone,2017
5,868,4323,Business and financial operations occupations,7002,8980,,Asian Alone,2017
6,504,7850,"Computer, engineering, and science occupations:",8964,14182,,Asian Alone,2017
7,203,6225,Computer and mathematical occupations,5387,10855,,Asian Alone,2017
8,115,1225,Architecture and engineering occupations,1252,2244,,Asian Alone,2017
9,186,400,"Life, physical, and social science occupations",2325,1083,,Asian Alone,2017
10,407,5575,"Education, legal, community service, arts, and media occupations:",6198,7109,,Asian Alone,2017
11,85,621,Community and social service occupations,414,1109,,Asian Alone,2017
12,0,377,Legal occupations,1705,900,,Asian Alone,2017
13,322,1613,"Education, training, and library occupations",1479,2641,,Asian Alone,2017
14,0,2964,"Arts, design, entertainment, sports, and media occupations",2600,2459,,Asian Alone,2017
15,1079,3747,Healthcare practitioners and technical occupations:,2905,6775,,Asian Alone,2017
16,656,3132,Health diagnosing and treating practitioners and other technical occupations,2564,4918,,Asian Alone,2017
17,423,615,Health technologists and technicians,341,1857,,Asian Alone,2017
18,3986,16241,Service occupations:,7913,34609,,Asian Alone,2017
19,196,976,Healthcare support occupations,139,2538,,Asian Alone,2017
20,828,911,Protective service occupations:,605,3003,,Asian Alone,2017
21,293,178,"Fire fighting and prevention, and other protective service workers including supervisors",336,1595,,Asian Alone,2017
22,535,733,Law enforcement workers including supervisors,269,1408,,Asian Alone,2017
23,2032,10845,Food preparation and serving related occupations,4462,20909,,Asian Alone,2017
24,508,1520,Building and grounds cleaning and maintenance occupations,1612,3908,,Asian Alone,2017
25,422,1989,Personal care and service occupations,1095,4251,,Asian Alone,2017
26,3020,15108,Sales and office occupations:,8337,34508,,Asian Alone,2017
27,2066,7430,Sales and related occupations,4885,19865,,Asian Alone,2017
28,954,7678,Office and administrative support occupations,3452,14643,,Asian Alone,2017
29,749,6845,"Natural resources, construction, and maintenance occupations:",1829,16858,,Asian Alone,2017
30,0,137,"Farming, fishing, and forestry occupations",0,73,,Asian Alone,2017
31,469,4870,Construction and extraction occupations,1775,10882,,Asian Alone,2017
32,280,1838,"Installation, maintenance, and repair occupations",54,5903,,Asian Alone,2017
33,3359,14474,"Production, transportation, and material moving occupations:",3113,31931,,Asian Alone,2017
34,688,3805,Production occupations,1366,5052,,Asian Alone,2017
35,2287,8943,Transportation occupations,1452,24172,,Asian Alone,2017
36,384,1726,Material moving occupations,295,2707,,Asian Alone,2017
37,10717,76677,Female:,63553,139716,,Asian Alone,2017
38,4158,32566,"Management, business, science, and arts occupations:",38954,54072,,Asian Alone,2017
39,1120,11476,"Management, business, and financial occupations:",13662,18150,,Asian Alone,2017
40,651,5869,Management occupations,7214,8807,,Asian Alone,2017
41,469,5607,Business and financial operations occupations,6448,9343,,Asian Alone,2017
42,154,3139,"Computer, engineering, and science occupations:",3717,3555,,Asian Alone,2017
43,84,1785,Computer and mathematical occupations,2100,1691,,Asian Alone,2017
44,0,541,Architecture and engineering occupations,874,1072,,Asian Alone,2017
45,70,813,"Life, physical, and social science occupations",743,792,,Asian Alone,2017
46,1324,11781,"Education, legal, community service, arts, and media occupations:",13648,16496,,Asian Alone,2017
47,101,997,Community and social service occupations,834,2394,,Asian Alone,2017
48,58,805,Legal occupations,1872,1130,,Asian Alone,2017
49,1165,6398,"Education, training, and library occupations",5756,9855,,Asian Alone,2017
50,0,3581,"Arts, design, entertainment, sports, and media occupations",5186,3117,,Asian Alone,2017
51,1560,6170,Healthcare practitioners and technical occupations:,7927,15871,,Asian Alone,2017
52,1331,5014,Health diagnosing and treating practitioners and other technical occupations,6719,12413,,Asian Alone,2017
53,229,1156,Health technologists and technicians,1208,3458,,Asian Alone,2017
54,3920,21936,Service occupations:,9392,39783,,Asian Alone,2017
55,1808,7565,Healthcare support occupations,2914,9002,,Asian Alone,2017
56,64,185,Protective service occupations:,85,1133,,Asian Alone,2017
57,0,149,"Fire fighting and prevention, and other protective service workers including supervisors",85,592,,Asian Alone,2017
58,64,36,Law enforcement workers including supervisors,0,541,,Asian Alone,2017
59,342,4304,Food preparation and serving related occupations,1300,7801,,Asian Alone,2017
60,259,997,Building and grounds cleaning and maintenance occupations,887,5639,,Asian Alone,2017
61,1447,8885,Personal care and service occupations,4206,16208,,Asian Alone,2017
62,2388,17436,Sales and office occupations:,12822,40779,,Asian Alone,2017
63,1310,7966,Sales and related occupations,7099,17535,,Asian Alone,2017
64,1078,9470,Office and administrative support occupations,5723,23244,,Asian Alone,2017
65,0,204,"Natural resources, construction, and maintenance occupations:",456,400,,Asian Alone,2017
66,0,85,"Farming, fishing, and forestry occupations",0,179,,Asian Alone,2017
67,0,0,Construction and extraction occupations,456,137,,Asian Alone,2017
68,0,119,"Installation, maintenance, and repair occupations",0,84,,Asian Alone,2017
69,251,4535,"Production, transportation, and material moving occupations:",1929,4682,,Asian Alone,2017
70,251,3434,Production occupations,1421,3157,,Asian Alone,2017
71,0,224,Transportation occupations,92,591,,Asian Alone,2017
72,0,877,Material moving occupations,416,934,,Asian Alone,2017
0,25245,155112,Total:,117209,304406,24312.0,Asian Alone,2018
1,14116,79242,Male:,51758,164773,12425.0,Asian Alone,2018
2,4707,29043,"Management, business, science, and arts occupations:",38403,51575,5286.0,Asian Alone,2018
3,1578,9365,"Management, business, and financial occupations:",18499,20966,1998.0,Asian Alone,2018
4,1148,5278,Management occupations,13472,12324,959.0,Asian Alone,2018
5,430,4087,Business and financial operations occupations,5027,8642,1039.0,Asian Alone,2018
6,592,9380,"Computer, engineering, and science occupations:",11436,14956,1546.0,Asian Alone,2018
7,452,6604,Computer and mathematical occupations,7881,9743,871.0,Asian Alone,2018
8,115,1916,Architecture and engineering occupations,1554,4047,594.0,Asian Alone,2018
9,25,860,"Life, physical, and social science occupations",2001,1166,81.0,Asian Alone,2018
10,883,7746,"Education, legal, community service, arts, and media occupations:",5502,8660,815.0,Asian Alone,2018
11,176,403,Community and social service occupations,260,1365,109.0,Asian Alone,2018
12,92,1195,Legal occupations,1511,934,159.0,Asian Alone,2018
13,300,2264,"Educational instruction, and library occupations",2179,3629,270.0,Asian Alone,2018
14,315,3884,"Arts, design, entertainment, sports, and media occupations",1552,2732,277.0,Asian Alone,2018
15,1654,2552,Healthcare practitioners and technical occupations:,2966,6993,927.0,Asian Alone,2018
16,1151,2057,Health diagnosing and treating practitioners and other technical occupations,2715,4658,491.0,Asian Alone,2018
17,503,495,Health technologists and technicians,251,2335,436.0,Asian Alone,2018
18,4171,16359,Service occupations:,4206,27341,1966.0,Asian Alone,2018
19,261,1630,Healthcare support occupations,374,2957,584.0,Asian Alone,2018
20,833,1516,Protective service occupations:,444,3949,183.0,Asian Alone,2018
21,421,845,"Firefighting and prevention, and other protective service workers including supervisors",352,2075,115.0,Asian Alone,2018
22,412,671,Law enforcement workers including supervisors,92,1874,68.0,Asian Alone,2018
23,2190,10792,Food preparation and serving related occupations,2223,13692,891.0,Asian Alone,2018
24,516,1638,Building and grounds cleaning and maintenance occupations,505,3272,279.0,Asian Alone,2018
25,371,783,Personal care and service occupations,660,3471,29.0,Asian Alone,2018
26,2575,12093,Sales and office occupations:,5774,32337,2390.0,Asian Alone,2018
27,1887,7543,Sales and related occupations,4008,18797,745.0,Asian Alone,2018
28,688,4550,Office and administrative support occupations,1766,13540,1645.0,Asian Alone,2018
29,642,6462,"Natural resources, construction, and maintenance occupations:",827,13643,712.0,Asian Alone,2018
30,0,0,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2018
31,304,4653,Construction and extraction occupations,744,9026,385.0,Asian Alone,2018
32,338,1809,"Installation, maintenance, and repair occupations",83,4617,327.0,Asian Alone,2018
33,2021,15285,"Production, transportation, and material moving occupations:",2548,39877,2071.0,Asian Alone,2018
34,374,2253,Production occupations,536,5284,648.0,Asian Alone,2018
35,1500,11281,Transportation occupations,1064,30739,1281.0,Asian Alone,2018
36,147,1751,Material moving occupations,948,3854,142.0,Asian Alone,2018
37,11129,75870,Female:,65451,139633,11887.0,Asian Alone,2018
38,5213,32594,"Management, business, science, and arts occupations:",41417,55825,5200.0,Asian Alone,2018
39,1604,12372,"Management, business, and financial occupations:",16636,21470,1846.0,Asian Alone,2018
40,564,6664,Management occupations,7895,9413,767.0,Asian Alone,2018
41,1040,5708,Business and financial operations occupations,8741,12057,1079.0,Asian Alone,2018
42,420,3333,"Computer, engineering, and science occupations:",5795,4066,427.0,Asian Alone,2018
43,148,2181,Computer and mathematical occupations,3061,2208,267.0,Asian Alone,2018
44,48,702,Architecture and engineering occupations,841,769,0.0,Asian Alone,2018
45,224,450,"Life, physical, and social science occupations",1893,1089,160.0,Asian Alone,2018
46,1438,11371,"Education, legal, community service, arts, and media occupations:",13358,12210,853.0,Asian Alone,2018
47,419,944,Community and social service occupations,388,884,185.0,Asian Alone,2018
48,126,1086,Legal occupations,2294,1281,291.0,Asian Alone,2018
49,893,4612,"Educational instruction, and library occupations",5009,6624,213.0,Asian Alone,2018
50,0,4729,"Arts, design, entertainment, sports, and media occupations",5667,3421,164.0,Asian Alone,2018
51,1751,5518,Healthcare practitioners and technical occupations:,5628,18079,2074.0,Asian Alone,2018
52,1386,3535,Health diagnosing and treating practitioners and other technical occupations,5110,13013,1918.0,Asian Alone,2018
53,365,1983,Health technologists and technicians,518,5066,156.0,Asian Alone,2018
54,3438,21623,Service occupations:,8242,40006,3141.0,Asian Alone,2018
55,1500,11233,Healthcare support occupations,3062,15453,926.0,Asian Alone,2018
56,126,224,Protective service occupations:,58,792,44.0,Asian Alone,2018
57,0,42,"Firefighting and prevention, and other protective service workers including supervisors",58,631,44.0,Asian Alone,2018
58,126,182,Law enforcement workers including supervisors,0,161,0.0,Asian Alone,2018
59,835,3837,Food preparation and serving related occupations,1890,7771,902.0,Asian Alone,2018
60,58,1727,Building and grounds cleaning and maintenance occupations,1132,4383,508.0,Asian Alone,2018
61,919,4602,Personal care and service occupations,2100,11607,761.0,Asian Alone,2018
62,2038,17898,Sales and office occupations:,14305,36756,2949.0,Asian Alone,2018
63,771,7339,Sales and related occupations,7133,17223,948.0,Asian Alone,2018
64,1267,10559,Office and administrative support occupations,7172,19533,2001.0,Asian Alone,2018
65,0,406,"Natural resources, construction, and maintenance occupations:",455,368,0.0,Asian Alone,2018
66,0,0,"Farming, fishing, and forestry occupations",0,29,0.0,Asian Alone,2018
67,0,406,Construction and extraction occupations,455,200,0.0,Asian Alone,2018
68,0,0,"Installation, maintenance, and repair occupations",0,139,0.0,Asian Alone,2018
69,440,3349,"Production, transportation, and material moving occupations:",1032,6678,597.0,Asian Alone,2018
70,405,2556,Production occupations,801,4230,597.0,Asian Alone,2018
71,0,218,Transportation occupations,103,1038,0.0,Asian Alone,2018
72,35,575,Material moving occupations,128,1410,0.0,Asian Alone,2018
0,25415,156344,Total:,117691,300826,26529.0,Asian Alone,2019
1,13611,79255,Male:,54989,156862,13498.0,Asian Alone,2019
2,4023,28396,"Management, business, science, and arts occupations:",36282,56179,5397.0,Asian Alone,2019
3,1606,11316,"Management, business, and financial occupations:",18079,24654,1919.0,Asian Alone,2019
4,940,6310,Management occupations,10578,14934,1126.0,Asian Alone,2019
5,666,5006,Business and financial operations occupations,7501,9720,793.0,Asian Alone,2019
6,415,8439,"Computer, engineering, and science occupations:",7697,13368,1214.0,Asian Alone,2019
7,383,6203,Computer and mathematical occupations,5299,9514,774.0,Asian Alone,2019
8,32,1824,Architecture and engineering occupations,1023,3181,294.0,Asian Alone,2019
9,0,412,"Life, physical, and social science occupations",1375,673,146.0,Asian Alone,2019
10,958,5648,"Education, legal, community service, arts, and media occupations:",6429,9560,1021.0,Asian Alone,2019
11,304,215,Community and social service occupations,81,2040,426.0,Asian Alone,2019
12,0,498,Legal occupations,1989,907,27.0,Asian Alone,2019
13,391,1558,"Educational instruction, and library occupations",1805,2951,384.0,Asian Alone,2019
14,263,3377,"Arts, design, entertainment, sports, and media occupations",2554,3662,184.0,Asian Alone,2019
15,1044,2993,Healthcare practitioners and technical occupations:,4077,8597,1243.0,Asian Alone,2019
16,969,1883,Health diagnosing and treating practitioners and other technical occupations,3705,5204,813.0,Asian Alone,2019
17,75,1110,Health technologists and technicians,372,3393,430.0,Asian Alone,2019
18,3433,18901,Service occupations:,7745,29052,2654.0,Asian Alone,2019
19,649,2695,Healthcare support occupations,1209,2548,664.0,Asian Alone,2019
20,932,1180,Protective service occupations:,244,5640,318.0,Asian Alone,2019
21,700,668,"Firefighting and prevention, and other protective service workers including supervisors",191,3339,140.0,Asian Alone,2019
22,232,512,Law enforcement workers including supervisors,53,2301,178.0,Asian Alone,2019
23,1194,12513,Food preparation and serving related occupations,4948,13485,906.0,Asian Alone,2019
24,408,1277,Building and grounds cleaning and maintenance occupations,183,2828,585.0,Asian Alone,2019
25,250,1236,Personal care and service occupations,1161,4551,181.0,Asian Alone,2019
26,2314,12238,Sales and office occupations:,7491,26121,2412.0,Asian Alone,2019
27,1843,8103,Sales and related occupations,5137,15508,1386.0,Asian Alone,2019
28,471,4135,Office and administrative support occupations,2354,10613,1026.0,Asian Alone,2019
29,509,6615,"Natural resources, construction, and maintenance occupations:",260,14268,1043.0,Asian Alone,2019
30,0,0,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2019
31,149,4740,Construction and extraction occupations,216,10248,779.0,Asian Alone,2019
32,360,1875,"Installation, maintenance, and repair occupations",44,4020,264.0,Asian Alone,2019
33,3332,13105,"Production, transportation, and material moving occupations:",3211,31242,1992.0,Asian Alone,2019
34,755,2062,Production occupations,1043,6138,185.0,Asian Alone,2019
35,2513,9776,Transportation occupations,1725,22206,1498.0,Asian Alone,2019
36,64,1267,Material moving occupations,443,2898,309.0,Asian Alone,2019
37,11804,77089,Female:,62702,143964,13031.0,Asian Alone,2019
38,5113,35617,"Management, business, science, and arts occupations:",44163,59618,5963.0,Asian Alone,2019
39,1243,12975,"Management, business, and financial occupations:",21556,21428,1609.0,Asian Alone,2019
40,648,6660,Management occupations,10653,11435,819.0,Asian Alone,2019
41,595,6315,Business and financial operations occupations,10903,9993,790.0,Asian Alone,2019
42,623,4218,"Computer, engineering, and science occupations:",6421,5505,481.0,Asian Alone,2019
43,452,2828,Computer and mathematical occupations,3843,3815,481.0,Asian Alone,2019
44,0,946,Architecture and engineering occupations,481,642,0.0,Asian Alone,2019
45,171,444,"Life, physical, and social science occupations",2097,1048,0.0,Asian Alone,2019
46,845,11245,"Education, legal, community service, arts, and media occupations:",9871,14705,1210.0,Asian Alone,2019
47,153,865,Community and social service occupations,696,1664,334.0,Asian Alone,2019
48,0,1081,Legal occupations,2206,974,0.0,Asian Alone,2019
49,645,5055,"Educational instruction, and library occupations",2902,7228,739.0,Asian Alone,2019
50,47,4244,"Arts, design, entertainment, sports, and media occupations",4067,4839,137.0,Asian Alone,2019
51,2402,7179,Healthcare practitioners and technical occupations:,6315,17980,2663.0,Asian Alone,2019
52,2208,5562,Health diagnosing and treating practitioners and other technical occupations,5956,14038,2030.0,Asian Alone,2019
53,194,1617,Health technologists and technicians,359,3942,633.0,Asian Alone,2019
54,3845,22483,Service occupations:,7644,43837,3731.0,Asian Alone,2019
55,1349,13034,Healthcare support occupations,3878,16647,1698.0,Asian Alone,2019
56,368,144,Protective service occupations:,264,1231,425.0,Asian Alone,2019
57,290,54,"Firefighting and prevention, and other protective service workers including supervisors",264,830,425.0,Asian Alone,2019
58,78,90,Law enforcement workers including supervisors,0,401,0.0,Asian Alone,2019
