Occupations,year,race,Gender,County,NumEmp
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Bronx County, New York",11864
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Kings County, New York",16358
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"New York County, New York",3744
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Queens County, New York",10772
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Richmond County, New York",480.5
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Bronx County, New York",5542
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Kings County, New York",7745
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"New York County, New York",1969
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Queens County, New York",4226
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Male,"Richmond County, New York",478.5
Management occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",6000
Management occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",14318
Management occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",5745
Management occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",6769
Management occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",745
Business and financial operations occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",4066
Business and financial operations occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",9568
Business and financial operations occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",2894
Business and financial operations occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",5731
Business and financial operations occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",434
Computer and mathematical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",1045
Computer and mathematical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",2445
Computer and mathematical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",1741
Computer and mathematical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",1670
Computer and mathematical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",0
Architecture and engineering occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",381
Architecture and engineering occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",603
Architecture and engineering occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",0
Architecture and engineering occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",333
Architecture and engineering occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",88.5
"Life, physical, and social science occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",184
"Life, physical, and social science occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",919
"Life, physical, and social science occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",132
"Life, physical, and social science occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",100
"Life, physical, and social science occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",0
Community and social service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",5794
Community and social service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",10820
Community and social service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",2558
Community and social service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",6433
Community and social service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",749.5
Legal occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",1423
Legal occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",2469
Legal occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",1263
Legal occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",1361
Legal occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",165
"Education, training, and library occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",5676
"Education, training, and library occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",19334
"Education, training, and library occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",5373
"Education, training, and library occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",10027
"Education, training, and library occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",533
"Arts, design, entertainment, sports, and media occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",1435
"Arts, design, entertainment, sports, and media occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",3475
"Arts, design, entertainment, sports, and media occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",2415
"Arts, design, entertainment, sports, and media occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",1359
"Arts, design, entertainment, sports, and media occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",134
Health diagnosing and treating practitioners and other technical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",6029
Health diagnosing and treating practitioners and other technical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",12660
Health diagnosing and treating practitioners and other technical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",2108
Health diagnosing and treating practitioners and other technical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",6489
Health diagnosing and treating practitioners and other technical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",706
Health technologists and technicians,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",2885
Health technologists and technicians,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",8398
Health technologists and technicians,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",1363
Health technologists and technicians,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",4190
Health technologists and technicians,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",426
Healthcare support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",25274
Healthcare support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",39251
Healthcare support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",7557
Healthcare support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",18517
Healthcare support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",1840
"Fire fighting and prevention, and other protective service workers including supervisors",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",3905
"Fire fighting and prevention, and other protective service workers including supervisors",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",6054
"Fire fighting and prevention, and other protective service workers including supervisors",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",1794
"Fire fighting and prevention, and other protective service workers including supervisors",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",2642
"Fire fighting and prevention, and other protective service workers including supervisors",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",65
Law enforcement workers including supervisors,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",1526
Law enforcement workers including supervisors,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",2860
Law enforcement workers including supervisors,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",756
Law enforcement workers including supervisors,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",1695
Law enforcement workers including supervisors,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",274.5
Food preparation and serving related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",6040
Food preparation and serving related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",5596
Food preparation and serving related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",1883
Food preparation and serving related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",2365
Food preparation and serving related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",671.5
Building and grounds cleaning and maintenance occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",4752
Building and grounds cleaning and maintenance occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",6418
Building and grounds cleaning and maintenance occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",1950
Building and grounds cleaning and maintenance occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",2767
Building and grounds cleaning and maintenance occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",82
Personal care and service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",6198
Personal care and service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",11362
Personal care and service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",5613
Personal care and service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",6201
Personal care and service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",1036
Sales and related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",9987
Sales and related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",15754
Sales and related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",5936
Sales and related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",9539
Sales and related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",1121
Office and administrative support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",19597
Office and administrative support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",29790
Office and administrative support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",7657
Office and administrative support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",19304
Office and administrative support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",1429
"Farming, fishing, and forestry occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",0
"Farming, fishing, and forestry occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",0
"Farming, fishing, and forestry occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",114
"Farming, fishing, and forestry occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",0
"Farming, fishing, and forestry occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",0
Construction and extraction occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",303
Construction and extraction occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",662
Construction and extraction occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",196
Construction and extraction occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",306
Construction and extraction occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",114
"Installation, maintenance, and repair occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",72
"Installation, maintenance, and repair occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",243
"Installation, maintenance, and repair occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",342
"Installation, maintenance, and repair occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",473
"Installation, maintenance, and repair occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",0
Production occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",2222
Production occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",2053
Production occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",303
Production occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",857
Production occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",158.5
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",2200
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",5023
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",539
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",1977
Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",114.5
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Bronx County, New York",1225
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Kings County, New York",2179
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"New York County, New York",525
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Queens County, New York",1017
Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,Female,"Richmond County, New York",75
Management occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",5541
Management occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",5681
Management occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",6763
Management occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",7414
Management occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",1715
Business and financial operations occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",1866
Business and financial operations occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",1426
Business and financial operations occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",3574
Business and financial operations occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",3559
Business and financial operations occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",312
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",1545
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",748
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",1137
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",2376
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",522
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",420
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",590
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",991
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",1454
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",212
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Male,"Bronx County, New York",196
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Male,"Kings County, New York",338
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Male,"New York County, New York",475
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Male,"Queens County, New York",120
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Male,"Richmond County, New York",0
Community and social service occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",1619
Community and social service occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",1307
Community and social service occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",1249
Community and social service occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",1006
Community and social service occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",0
Legal occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",249
Legal occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",532
Legal occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",567
Legal occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",383
Legal occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",75
"Education, training, and library occupations",2010,HISPANIC OR LATINO,Male,"Bronx County, New York",2548
"Education, training, and library occupations",2010,HISPANIC OR LATINO,Male,"Kings County, New York",1678
"Education, training, and library occupations",2010,HISPANIC OR LATINO,Male,"New York County, New York",2170
"Education, training, and library occupations",2010,HISPANIC OR LATINO,Male,"Queens County, New York",2559
"Education, training, and library occupations",2010,HISPANIC OR LATINO,Male,"Richmond County, New York",68
"Arts, design, entertainment, sports, and media occupations",2010,HISPANIC OR LATINO,Male,"Bronx County, New York",1498
"Arts, design, entertainment, sports, and media occupations",2010,HISPANIC OR LATINO,Male,"Kings County, New York",3095
"Arts, design, entertainment, sports, and media occupations",2010,HISPANIC OR LATINO,Male,"New York County, New York",2703
"Arts, design, entertainment, sports, and media occupations",2010,HISPANIC OR LATINO,Male,"Queens County, New York",2244
"Arts, design, entertainment, sports, and media occupations",2010,HISPANIC OR LATINO,Male,"Richmond County, New York",325
Health diagnosing and treating practitioners and other technical occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",464
Health diagnosing and treating practitioners and other technical occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",330
Health diagnosing and treating practitioners and other technical occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",1576
Health diagnosing and treating practitioners and other technical occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",1026
Health diagnosing and treating practitioners and other technical occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",166
Health technologists and technicians,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",776
Health technologists and technicians,2010,HISPANIC OR LATINO,Male,"Kings County, New York",828
Health technologists and technicians,2010,HISPANIC OR LATINO,Male,"New York County, New York",462
Health technologists and technicians,2010,HISPANIC OR LATINO,Male,"Queens County, New York",1382
Health technologists and technicians,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",81
Healthcare support occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",982
Healthcare support occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",406
Healthcare support occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",194
Healthcare support occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",488
Healthcare support occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",487
"Fire fighting and prevention, and other protective service workers including supervisors",2010,HISPANIC OR LATINO,Male,"Bronx County, New York",4786
"Fire fighting and prevention, and other protective service workers including supervisors",2010,HISPANIC OR LATINO,Male,"Kings County, New York",3415
"Fire fighting and prevention, and other protective service workers including supervisors",2010,HISPANIC OR LATINO,Male,"New York County, New York",2178
"Fire fighting and prevention, and other protective service workers including supervisors",2010,HISPANIC OR LATINO,Male,"Queens County, New York",3019
"Fire fighting and prevention, and other protective service workers including supervisors",2010,HISPANIC OR LATINO,Male,"Richmond County, New York",729
Law enforcement workers including supervisors,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",1767
Law enforcement workers including supervisors,2010,HISPANIC OR LATINO,Male,"Kings County, New York",1290
Law enforcement workers including supervisors,2010,HISPANIC OR LATINO,Male,"New York County, New York",706
Law enforcement workers including supervisors,2010,HISPANIC OR LATINO,Male,"Queens County, New York",2757
Law enforcement workers including supervisors,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",436
Food preparation and serving related occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",14132
Food preparation and serving related occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",13577
Food preparation and serving related occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",11097
Food preparation and serving related occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",24163
Food preparation and serving related occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",994
Building and grounds cleaning and maintenance occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",17356
Building and grounds cleaning and maintenance occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",10683
Building and grounds cleaning and maintenance occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",8295
Building and grounds cleaning and maintenance occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",14744
Building and grounds cleaning and maintenance occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",919
Personal care and service occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",5529
Personal care and service occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",2631
Personal care and service occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",3629
Personal care and service occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",4571
Personal care and service occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",654
Sales and related occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",13067
Sales and related occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",9829
Sales and related occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",8052
Sales and related occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",12569
Sales and related occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",2085
Office and administrative support occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",12621
Office and administrative support occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",10185
Office and administrative support occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",8872
Office and administrative support occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",14715
Office and administrative support occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",1116
"Farming, fishing, and forestry occupations",2010,HISPANIC OR LATINO,Male,"Bronx County, New York",481
"Farming, fishing, and forestry occupations",2010,HISPANIC OR LATINO,Male,"Kings County, New York",0
"Farming, fishing, and forestry occupations",2010,HISPANIC OR LATINO,Male,"New York County, New York",91
"Farming, fishing, and forestry occupations",2010,HISPANIC OR LATINO,Male,"Queens County, New York",0
"Farming, fishing, and forestry occupations",2010,HISPANIC OR LATINO,Male,"Richmond County, New York",0
Construction and extraction occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",15785
Construction and extraction occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",14849
Construction and extraction occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",5140
Construction and extraction occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",31189
Construction and extraction occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",2943
"Installation, maintenance, and repair occupations",2010,HISPANIC OR LATINO,Male,"Bronx County, New York",6080
"Installation, maintenance, and repair occupations",2010,HISPANIC OR LATINO,Male,"Kings County, New York",4543
"Installation, maintenance, and repair occupations",2010,HISPANIC OR LATINO,Male,"New York County, New York",2004
"Installation, maintenance, and repair occupations",2010,HISPANIC OR LATINO,Male,"Queens County, New York",8408
"Installation, maintenance, and repair occupations",2010,HISPANIC OR LATINO,Male,"Richmond County, New York",693
Production occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",9953
Production occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",6499
Production occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",3403
Production occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",11619
Production occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",983
Transportation occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",16687
Transportation occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",8102
Transportation occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",7332
Transportation occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",15920
Transportation occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",1017
Material moving occupations,2010,HISPANIC OR LATINO,Male,"Bronx County, New York",4863
Material moving occupations,2010,HISPANIC OR LATINO,Male,"Kings County, New York",6618
Material moving occupations,2010,HISPANIC OR LATINO,Male,"New York County, New York",3877
Material moving occupations,2010,HISPANIC OR LATINO,Male,"Queens County, New York",5310
Material moving occupations,2010,HISPANIC OR LATINO,Male,"Richmond County, New York",474
Management occupations,2010,HISPANIC OR LATINO,Female,"Bronx County, New York",5529
Management occupations,2010,HISPANIC OR LATINO,Female,"Kings County, New York",4083
Management occupations,2010,HISPANIC OR LATINO,Female,"New York County, New York",6660
Management occupations,2010,HISPANIC OR LATINO,Female,"Queens County, New York",6472
Management occupations,2010,HISPANIC OR LATINO,Female,"Richmond County, New York",1380
Business and financial operations occupations,2010,HISPANIC OR LATINO,Female,"Bronx County, New York",2494
Business and financial operations occupations,2010,HISPANIC OR LATINO,Female,"Kings County, New York",3208
Business and financial operations occupations,2010,HISPANIC OR LATINO,Female,"New York County, New York",3428
Business and financial operations occupations,2010,HISPANIC OR LATINO,Female,"Queens County, New York",5178
Business and financial operations occupations,2010,HISPANIC OR LATINO,Female,"Richmond County, New York",992
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Female,"Bronx County, New York",364
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Female,"Kings County, New York",602
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Female,"New York County, New York",416
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Female,"Queens County, New York",318
Computer and mathematical occupations,2010,HISPANIC OR LATINO,Female,"Richmond County, New York",0
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Female,"Bronx County, New York",306
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Female,"Kings County, New York",439
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Female,"New York County, New York",346
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Female,"Queens County, New York",297
Architecture and engineering occupations,2010,HISPANIC OR LATINO,Female,"Richmond County, New York",0
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Female,"Bronx County, New York",540
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Female,"Kings County, New York",109
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Female,"New York County, New York",568
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Female,"Queens County, New York",179
"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,Female,"Richmond County, New York",0
Community and social service occupations,2010,HISPANIC OR LATINO,Female,"Bronx County, New York",4568
Community and social service occupations,2010,HISPANIC OR LATINO,Female,"Kings County, New York",1733
Community and social service occupations,2010,HISPANIC OR LATINO,Female,"New York County, New York",1408
Community and social service occupations,2010,HISPANIC OR LATINO,Female,"Queens County, New York",2536
Community and social service occupations,2010,HISPANIC OR LATINO,Female,"Richmond County, New York",295
Legal occupations,2010,HISPANIC OR LATINO,Female,"Bronx County, New York",1426
Legal occupations,2010,HISPANIC OR LATINO,Female,"Kings County, New York",838
Legal occupations,2010,HISPANIC OR LATINO,Female,"New York County, New York",975
