,Occupations,year,race,YearlyNumEmpbyRace
3810,"Fire fighting and prevention, and other protective service workers including supervisors",2015,BLACK OR AFRICAN AMERICAN ALONE,35503.5
3815,Law enforcement workers including supervisors,2015,BLACK OR AFRICAN AMERICAN ALONE,15947.5
3820,Food preparation and serving related occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,35726.0
3825,Building and grounds cleaning and maintenance occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,48801.5
3830,Personal care and service occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,56367.5
3835,Sales and related occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,72307.0
3840,Office and administrative support occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,140436.5
3845,"Farming, fishing, and forestry occupations",2015,BLACK OR AFRICAN AMERICAN ALONE,315.0
3850,Construction and extraction occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,33778.5
3855,"Installation, maintenance, and repair occupations",2015,BLACK OR AFRICAN AMERICAN ALONE,16366.5
3860,Production occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,17852.5
3865,Transportation occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,52511.0
3870,Material moving occupations,2015,BLACK OR AFRICAN AMERICAN ALONE,14051.5
4000,Management occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,59717.5
4005,Business and financial operations occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,34798.5
4010,Computer and mathematical occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,12806.0
4015,Architecture and engineering occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,5144.5
4020,"Life, physical, and social science occupations",2016,BLACK OR AFRICAN AMERICAN ALONE,2497.0
4025,Community and social service occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,38496.5
4030,Legal occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,9859.0
4035,"Education, training, and library occupations",2016,BLACK OR AFRICAN AMERICAN ALONE,48442.0
4040,"Arts, design, entertainment, sports, and media occupations",2016,BLACK OR AFRICAN AMERICAN ALONE,17161.5
4045,Health diagnosing and treating practitioners and other technical occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,33576.5
4050,Health technologists and technicians,2016,BLACK OR AFRICAN AMERICAN ALONE,22447.0
4055,Healthcare support occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,88433.5
4060,"Fire fighting and prevention, and other protective service workers including supervisors",2016,BLACK OR AFRICAN AMERICAN ALONE,31838.5
4065,Law enforcement workers including supervisors,2016,BLACK OR AFRICAN AMERICAN ALONE,14321.5
4070,Food preparation and serving related occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,34075.0
4075,Building and grounds cleaning and maintenance occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,43618.5
4080,Personal care and service occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,61103.5
4085,Sales and related occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,80430.0
4090,Office and administrative support occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,138928.5
4095,"Farming, fishing, and forestry occupations",2016,BLACK OR AFRICAN AMERICAN ALONE,183.0
4100,Construction and extraction occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,32512.5
4105,"Installation, maintenance, and repair occupations",2016,BLACK OR AFRICAN AMERICAN ALONE,21765.5
4110,Production occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,14282.5
4115,Transportation occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,56934.0
4120,Material moving occupations,2016,BLACK OR AFRICAN AMERICAN ALONE,13947.5
4250,Management occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,57224.5
4255,Business and financial operations occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,36521.5
4260,Computer and mathematical occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,14589.0
4265,Architecture and engineering occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,5834.5
4270,"Life, physical, and social science occupations",2017,BLACK OR AFRICAN AMERICAN ALONE,2935.0
4275,Community and social service occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,37048.5
4280,Legal occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,9092.0
4285,"Education, training, and library occupations",2017,BLACK OR AFRICAN AMERICAN ALONE,52781.0
4290,"Arts, design, entertainment, sports, and media occupations",2017,BLACK OR AFRICAN AMERICAN ALONE,17736.5
4295,Health diagnosing and treating practitioners and other technical occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,32925.5
4300,Health technologists and technicians,2017,BLACK OR AFRICAN AMERICAN ALONE,25609.0
4305,Healthcare support occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,91799.5
4310,"Fire fighting and prevention, and other protective service workers including supervisors",2017,BLACK OR AFRICAN AMERICAN ALONE,35442.5
4315,Law enforcement workers including supervisors,2017,BLACK OR AFRICAN AMERICAN ALONE,15966.5
4320,Food preparation and serving related occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,39743.0
4325,Building and grounds cleaning and maintenance occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,45693.5
4330,Personal care and service occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,56785.5
4335,Sales and related occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,74440.0
4340,Office and administrative support occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,141143.5
4345,"Farming, fishing, and forestry occupations",2017,BLACK OR AFRICAN AMERICAN ALONE,343.0
4350,Construction and extraction occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,33490.5
4355,"Installation, maintenance, and repair occupations",2017,BLACK OR AFRICAN AMERICAN ALONE,18373.5
4360,Production occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,13290.5
4365,Transportation occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,59919.0
4370,Material moving occupations,2017,BLACK OR AFRICAN AMERICAN ALONE,14639.5
4500,Management occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,58554.5
4505,Business and financial operations occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,34170.5
4510,Computer and mathematical occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,13522.0
4515,Architecture and engineering occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,4161.5
4520,"Life, physical, and social science occupations",2018,BLACK OR AFRICAN AMERICAN ALONE,4448.0
4525,Community and social service occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,30460.5
4530,Legal occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,8923.0
4535,"Education, training, and library occupations",2018,BLACK OR AFRICAN AMERICAN ALONE,59080.0
4540,"Arts, design, entertainment, sports, and media occupations",2018,BLACK OR AFRICAN AMERICAN ALONE,16994.5
4545,Health diagnosing and treating practitioners and other technical occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,36108.5
4550,Health technologists and technicians,2018,BLACK OR AFRICAN AMERICAN ALONE,22307.0
4555,Healthcare support occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,98141.5
4560,"Fire fighting and prevention, and other protective service workers including supervisors",2018,BLACK OR AFRICAN AMERICAN ALONE,36541.5
4565,Law enforcement workers including supervisors,2018,BLACK OR AFRICAN AMERICAN ALONE,16536.5
4570,Food preparation and serving related occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,37025.0
4575,Building and grounds cleaning and maintenance occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,50916.5
4580,Personal care and service occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,37361.5
4585,Sales and related occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,72078.0
4590,Office and administrative support occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,118291.5
4595,"Farming, fishing, and forestry occupations",2018,BLACK OR AFRICAN AMERICAN ALONE,137.0
4600,Construction and extraction occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,32938.5
4605,"Installation, maintenance, and repair occupations",2018,BLACK OR AFRICAN AMERICAN ALONE,16463.5
4610,Production occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,14608.5
4615,Transportation occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,63396.0
4620,Material moving occupations,2018,BLACK OR AFRICAN AMERICAN ALONE,29407.5
4750,Management occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,57932.5
4755,Business and financial operations occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,36764.5
4760,Computer and mathematical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,19909.0
4765,Architecture and engineering occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,6142.5
4770,"Life, physical, and social science occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,3415.0
4775,Community and social service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,36350.5
4780,Legal occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,10434.0
4785,"Education, training, and library occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,54183.0
4790,"Arts, design, entertainment, sports, and media occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,19158.5
4795,Health diagnosing and treating practitioners and other technical occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,33082.5
4800,Health technologists and technicians,2019,BLACK OR AFRICAN AMERICAN ALONE,24677.0
4805,Healthcare support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,104738.5
4810,"Fire fighting and prevention, and other protective service workers including supervisors",2019,BLACK OR AFRICAN AMERICAN ALONE,39471.5
4815,Law enforcement workers including supervisors,2019,BLACK OR AFRICAN AMERICAN ALONE,17350.5
4820,Food preparation and serving related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,36941.0
4825,Building and grounds cleaning and maintenance occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,45886.5
4830,Personal care and service occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,44082.5
4835,Sales and related occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,72362.0
4840,Office and administrative support occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,110292.5
4845,"Farming, fishing, and forestry occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,474.0
4850,Construction and extraction occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,38483.5
4855,"Installation, maintenance, and repair occupations",2019,BLACK OR AFRICAN AMERICAN ALONE,20129.5
4860,Production occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,17039.5
4865,Transportation occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,53072.0
4870,Material moving occupations,2019,BLACK OR AFRICAN AMERICAN ALONE,24981.5
5000,Management occupations,2010,HISPANIC OR LATINO,51238.0
5005,Business and financial operations occupations,2010,HISPANIC OR LATINO,26037.0
5010,Computer and mathematical occupations,2010,HISPANIC OR LATINO,8028.0
5015,Architecture and engineering occupations,2010,HISPANIC OR LATINO,5055.0
5020,"Life, physical, and social science occupations",2010,HISPANIC OR LATINO,2525.0
5025,Community and social service occupations,2010,HISPANIC OR LATINO,15721.0
5030,Legal occupations,2010,HISPANIC OR LATINO,7098.0
5035,"Education, training, and library occupations",2010,HISPANIC OR LATINO,38481.0
5040,"Arts, design, entertainment, sports, and media occupations",2010,HISPANIC OR LATINO,16566.0
5045,Health diagnosing and treating practitioners and other technical occupations,2010,HISPANIC OR LATINO,12465.0
5050,Health technologists and technicians,2010,HISPANIC OR LATINO,9514.0
5055,Healthcare support occupations,2010,HISPANIC OR LATINO,52724.0
5060,"Fire fighting and prevention, and other protective service workers including supervisors",2010,HISPANIC OR LATINO,17854.0
5065,Law enforcement workers including supervisors,2010,HISPANIC OR LATINO,9467.0
5070,Food preparation and serving related occupations,2010,HISPANIC OR LATINO,87250.0
5075,Building and grounds cleaning and maintenance occupations,2010,HISPANIC OR LATINO,94437.0
5080,Personal care and service occupations,2010,HISPANIC OR LATINO,61753.0
5085,Sales and related occupations,2010,HISPANIC OR LATINO,94915.0
5090,Office and administrative support occupations,2010,HISPANIC OR LATINO,128769.0
5095,"Farming, fishing, and forestry occupations",2010,HISPANIC OR LATINO,627.0
5100,Construction and extraction occupations,2010,HISPANIC OR LATINO,70933.0
5105,"Installation, maintenance, and repair occupations",2010,HISPANIC OR LATINO,22979.0
5110,Production occupations,2010,HISPANIC OR LATINO,49152.0
5115,Transportation occupations,2010,HISPANIC OR LATINO,53857.0
5120,Material moving occupations,2010,HISPANIC OR LATINO,29341.0
5250,Management occupations,2011,HISPANIC OR LATINO,47375.0
5255,Business and financial operations occupations,2011,HISPANIC OR LATINO,22545.0
5260,Computer and mathematical occupations,2011,HISPANIC OR LATINO,7014.0
5265,Architecture and engineering occupations,2011,HISPANIC OR LATINO,4870.0
5270,"Life, physical, and social science occupations",2011,HISPANIC OR LATINO,3389.0
5275,Community and social service occupations,2011,HISPANIC OR LATINO,15443.0
5280,Legal occupations,2011,HISPANIC OR LATINO,8409.0
5285,"Education, training, and library occupations",2011,HISPANIC OR LATINO,38409.0
5290,"Arts, design, entertainment, sports, and media occupations",2011,HISPANIC OR LATINO,21187.0
5295,Health diagnosing and treating practitioners and other technical occupations,2011,HISPANIC OR LATINO,10751.0
5300,Health technologists and technicians,2011,HISPANIC OR LATINO,10376.0
5305,Healthcare support occupations,2011,HISPANIC OR LATINO,50142.0
5310,"Fire fighting and prevention, and other protective service workers including supervisors",2011,HISPANIC OR LATINO,21652.0
5315,Law enforcement workers including supervisors,2011,HISPANIC OR LATINO,8748.0
5320,Food preparation and serving related occupations,2011,HISPANIC OR LATINO,99994.0
5325,Building and grounds cleaning and maintenance occupations,2011,HISPANIC OR LATINO,93814.0
5330,Personal care and service occupations,2011,HISPANIC OR LATINO,62696.0
5335,Sales and related occupations,2011,HISPANIC OR LATINO,102796.0
5340,Office and administrative support occupations,2011,HISPANIC OR LATINO,129710.0
5345,"Farming, fishing, and forestry occupations",2011,HISPANIC OR LATINO,3414.0
5350,Construction and extraction occupations,2011,HISPANIC OR LATINO,69160.0
5355,"Installation, maintenance, and repair occupations",2011,HISPANIC OR LATINO,23355.0
5360,Production occupations,2011,HISPANIC OR LATINO,47182.0
5365,Transportation occupations,2011,HISPANIC OR LATINO,50129.0
5370,Material moving occupations,2011,HISPANIC OR LATINO,24328.0
5500,Management occupations,2012,HISPANIC OR LATINO,53661.0
5505,Business and financial operations occupations,2012,HISPANIC OR LATINO,22938.0
5510,Computer and mathematical occupations,2012,HISPANIC OR LATINO,10064.0
5515,Architecture and engineering occupations,2012,HISPANIC OR LATINO,4176.0
5520,"Life, physical, and social science occupations",2012,HISPANIC OR LATINO,3170.0
5525,Community and social service occupations,2012,HISPANIC OR LATINO,16266.0
5530,Legal occupations,2012,HISPANIC OR LATINO,8801.0
5535,"Education, training, and library occupations",2012,HISPANIC OR LATINO,44621.0
5540,"Arts, design, entertainment, sports, and media occupations",2012,HISPANIC OR LATINO,19317.0
5545,Health diagnosing and treating practitioners and other technical occupations,2012,HISPANIC OR LATINO,13813.0
5550,Health technologists and technicians,2012,HISPANIC OR LATINO,8746.0
5555,Healthcare support occupations,2012,HISPANIC OR LATINO,53478.0
5560,"Fire fighting and prevention, and other protective service workers including supervisors",2012,HISPANIC OR LATINO,20192.0
5565,Law enforcement workers including supervisors,2012,HISPANIC OR LATINO,10470.0
5570,Food preparation and serving related occupations,2012,HISPANIC OR LATINO,99558.0
5575,Building and grounds cleaning and maintenance occupations,2012,HISPANIC OR LATINO,93367.0
5580,Personal care and service occupations,2012,HISPANIC OR LATINO,64314.0
5585,Sales and related occupations,2012,HISPANIC OR LATINO,98969.0
5590,Office and administrative support occupations,2012,HISPANIC OR LATINO,130651.0
5595,"Farming, fishing, and forestry occupations",2012,HISPANIC OR LATINO,1374.0
5600,Construction and extraction occupations,2012,HISPANIC OR LATINO,69033.0
5605,"Installation, maintenance, and repair occupations",2012,HISPANIC OR LATINO,21599.0
5610,Production occupations,2012,HISPANIC OR LATINO,49554.0
5615,Transportation occupations,2012,HISPANIC OR LATINO,60840.0
5620,Material moving occupations,2012,HISPANIC OR LATINO,29039.0
5750,Management occupations,2013,HISPANIC OR LATINO,53449.0
5755,Business and financial operations occupations,2013,HISPANIC OR LATINO,27474.0
5760,Computer and mathematical occupations,2013,HISPANIC OR LATINO,8938.0
5765,Architecture and engineering occupations,2013,HISPANIC OR LATINO,4094.0
5770,"Life, physical, and social science occupations",2013,HISPANIC OR LATINO,3687.0
5775,Community and social service occupations,2013,HISPANIC OR LATINO,16563.0
5780,Legal occupations,2013,HISPANIC OR LATINO,6545.0
5785,"Education, training, and library occupations",2013,HISPANIC OR LATINO,46379.0
5790,"Arts, design, entertainment, sports, and media occupations",2013,HISPANIC OR LATINO,22828.0
5795,Health diagnosing and treating practitioners and other technical occupations,2013,HISPANIC OR LATINO,12738.0
5800,Health technologists and technicians,2013,HISPANIC OR LATINO,10212.0
5805,Healthcare support occupations,2013,HISPANIC OR LATINO,55809.0
5810,"Fire fighting and prevention, and other protective service workers including supervisors",2013,HISPANIC OR LATINO,17566.0
5815,Law enforcement workers including supervisors,2013,HISPANIC OR LATINO,10604.0
5820,Food preparation and serving related occupations,2013,HISPANIC OR LATINO,99037.0
5825,Building and grounds cleaning and maintenance occupations,2013,HISPANIC OR LATINO,102371.0
5830,Personal care and service occupations,2013,HISPANIC OR LATINO,59450.0
5835,Sales and related occupations,2013,HISPANIC OR LATINO,101405.0
5840,Office and administrative support occupations,2013,HISPANIC OR LATINO,132018.0
5845,"Farming, fishing, and forestry occupations",2013,HISPANIC OR LATINO,1260.0
5850,Construction and extraction occupations,2013,HISPANIC OR LATINO,71793.0
5855,"Installation, maintenance, and repair occupations",2013,HISPANIC OR LATINO,30092.0
5860,Production occupations,2013,HISPANIC OR LATINO,42659.0
5865,Transportation occupations,2013,HISPANIC OR LATINO,59170.0
5870,Material moving occupations,2013,HISPANIC OR LATINO,25937.0
6000,Management occupations,2014,HISPANIC OR LATINO,62333.0
6005,Business and financial operations occupations,2014,HISPANIC OR LATINO,26339.0
6010,Computer and mathematical occupations,2014,HISPANIC OR LATINO,10561.0
6015,Architecture and engineering occupations,2014,HISPANIC OR LATINO,4899.0
6020,"Life, physical, and social science occupations",2014,HISPANIC OR LATINO,4502.0
6025,Community and social service occupations,2014,HISPANIC OR LATINO,18744.0
6030,Legal occupations,2014,HISPANIC OR LATINO,8087.0
6035,"Education, training, and library occupations",2014,HISPANIC OR LATINO,46469.0
6040,"Arts, design, entertainment, sports, and media occupations",2014,HISPANIC OR LATINO,24422.0
6045,Health diagnosing and treating practitioners and other technical occupations,2014,HISPANIC OR LATINO,11228.0
6050,Health technologists and technicians,2014,HISPANIC OR LATINO,13316.0
6055,Healthcare support occupations,2014,HISPANIC OR LATINO,54235.0
6060,"Fire fighting and prevention, and other protective service workers including supervisors",2014,HISPANIC OR LATINO,18910.0
6065,Law enforcement workers including supervisors,2014,HISPANIC OR LATINO,10503.0
6070,Food preparation and serving related occupations,2014,HISPANIC OR LATINO,110379.0
6075,Building and grounds cleaning and maintenance occupations,2014,HISPANIC OR LATINO,101476.0
6080,Personal care and service occupations,2014,HISPANIC OR LATINO,63193.0
6085,Sales and related occupations,2014,HISPANIC OR LATINO,97720.0
6090,Office and administrative support occupations,2014,HISPANIC OR LATINO,128174.0
6095,"Farming, fishing, and forestry occupations",2014,HISPANIC OR LATINO,1069.0
6100,Construction and extraction occupations,2014,HISPANIC OR LATINO,80915.0
6105,"Installation, maintenance, and repair occupations",2014,HISPANIC OR LATINO,24813.0
6110,Production occupations,2014,HISPANIC OR LATINO,44907.0
6115,Transportation occupations,2014,HISPANIC OR LATINO,67433.0
6120,Material moving occupations,2014,HISPANIC OR LATINO,23074.0
6250,Management occupations,2015,HISPANIC OR LATINO,65888.0
6255,Business and financial operations occupations,2015,HISPANIC OR LATINO,28184.0
6260,Computer and mathematical occupations,2015,HISPANIC OR LATINO,12465.0
6265,Architecture and engineering occupations,2015,HISPANIC OR LATINO,4074.0
6270,"Life, physical, and social science occupations",2015,HISPANIC OR LATINO,4627.0
6275,Community and social service occupations,2015,HISPANIC OR LATINO,16652.0
6280,Legal occupations,2015,HISPANIC OR LATINO,11873.0
6285,"Education, training, and library occupations",2015,HISPANIC OR LATINO,48021.0
6290,"Arts, design, entertainment, sports, and media occupations",2015,HISPANIC OR LATINO,25490.0
6295,Health diagnosing and treating practitioners and other technical occupations,2015,HISPANIC OR LATINO,15161.0
6300,Health technologists and technicians,2015,HISPANIC OR LATINO,16352.0
6305,Healthcare support occupations,2015,HISPANIC OR LATINO,56562.0
6310,"Fire fighting and prevention, and other protective service workers including supervisors",2015,HISPANIC OR LATINO,20875.0
6315,Law enforcement workers including supervisors,2015,HISPANIC OR LATINO,10258.0
6320,Food preparation and serving related occupations,2015,HISPANIC OR LATINO,113863.0
6325,Building and grounds cleaning and maintenance occupations,2015,HISPANIC OR LATINO,97061.0
6330,Personal care and service occupations,2015,HISPANIC OR LATINO,68250.0
6335,Sales and related occupations,2015,HISPANIC OR LATINO,99891.0
6340,Office and administrative support occupations,2015,HISPANIC OR LATINO,141650.0
6345,"Farming, fishing, and forestry occupations",2015,HISPANIC OR LATINO,1789.0
6350,Construction and extraction occupations,2015,HISPANIC OR LATINO,75741.0
6355,"Installation, maintenance, and repair occupations",2015,HISPANIC OR LATINO,24120.0
6360,Production occupations,2015,HISPANIC OR LATINO,44808.0
6365,Transportation occupations,2015,HISPANIC OR LATINO,65129.0
6370,Material moving occupations,2015,HISPANIC OR LATINO,22855.0
6500,Management occupations,2016,HISPANIC OR LATINO,71821.0
6505,Business and financial operations occupations,2016,HISPANIC OR LATINO,28559.0
6510,Computer and mathematical occupations,2016,HISPANIC OR LATINO,16179.0
6515,Architecture and engineering occupations,2016,HISPANIC OR LATINO,5045.0
6520,"Life, physical, and social science occupations",2016,HISPANIC OR LATINO,3540.0
6525,Community and social service occupations,2016,HISPANIC OR LATINO,19158.0
6530,Legal occupations,2016,HISPANIC OR LATINO,8522.0
6535,"Education, training, and library occupations",2016,HISPANIC OR LATINO,45042.0
6540,"Arts, design, entertainment, sports, and media occupations",2016,HISPANIC OR LATINO,23762.0
6545,Health diagnosing and treating practitioners and other technical occupations,2016,HISPANIC OR LATINO,16652.0
6550,Health technologists and technicians,2016,HISPANIC OR LATINO,12408.0
6555,Healthcare support occupations,2016,HISPANIC OR LATINO,57682.0
6560,"Fire fighting and prevention, and other protective service workers including supervisors",2016,HISPANIC OR LATINO,20697.0
6565,Law enforcement workers including supervisors,2016,HISPANIC OR LATINO,11504.0
6570,Food preparation and serving related occupations,2016,HISPANIC OR LATINO,109359.0
6575,Building and grounds cleaning and maintenance occupations,2016,HISPANIC OR LATINO,99559.0
6580,Personal care and service occupations,2016,HISPANIC OR LATINO,79298.0
6585,Sales and related occupations,2016,HISPANIC OR LATINO,102666.0
6590,Office and administrative support occupations,2016,HISPANIC OR LATINO,136374.0
6595,"Farming, fishing, and forestry occupations",2016,HISPANIC OR LATINO,618.0
6600,Construction and extraction occupations,2016,HISPANIC OR LATINO,72224.0
6605,"Installation, maintenance, and repair occupations",2016,HISPANIC OR LATINO,27589.0
6610,Production occupations,2016,HISPANIC OR LATINO,42229.0
6615,Transportation occupations,2016,HISPANIC OR LATINO,65875.0
6620,Material moving occupations,2016,HISPANIC OR LATINO,22534.0
6750,Management occupations,2017,HISPANIC OR LATINO,72394.0
6755,Business and financial operations occupations,2017,HISPANIC OR LATINO,33122.0
6760,Computer and mathematical occupations,2017,HISPANIC OR LATINO,14210.0
6765,Architecture and engineering occupations,2017,HISPANIC OR LATINO,6776.0
6770,"Life, physical, and social science occupations",2017,HISPANIC OR LATINO,4292.0
6775,Community and social service occupations,2017,HISPANIC OR LATINO,20030.0
6780,Legal occupations,2017,HISPANIC OR LATINO,8311.0
6785,"Education, training, and library occupations",2017,HISPANIC OR LATINO,46831.0
6790,"Arts, design, entertainment, sports, and media occupations",2017,HISPANIC OR LATINO,24841.0
6795,Health diagnosing and treating practitioners and other technical occupations,2017,HISPANIC OR LATINO,14161.0
6800,Health technologists and technicians,2017,HISPANIC OR LATINO,14094.0
6805,Healthcare support occupations,2017,HISPANIC OR LATINO,69624.0
6810,"Fire fighting and prevention, and other protective service workers including supervisors",2017,HISPANIC OR LATINO,21849.0
6815,Law enforcement workers including supervisors,2017,HISPANIC OR LATINO,9850.0
6820,Food preparation and serving related occupations,2017,HISPANIC OR LATINO,98787.0
6825,Building and grounds cleaning and maintenance occupations,2017,HISPANIC OR LATINO,99987.0
6830,Personal care and service occupations,2017,HISPANIC OR LATINO,69775.0
6835,Sales and related occupations,2017,HISPANIC OR LATINO,102637.0
6840,Office and administrative support occupations,2017,HISPANIC OR LATINO,152345.0
6845,"Farming, fishing, and forestry occupations",2017,HISPANIC OR LATINO,1621.0
6850,Construction and extraction occupations,2017,HISPANIC OR LATINO,84113.0
6855,"Installation, maintenance, and repair occupations",2017,HISPANIC OR LATINO,24236.0
6860,Production occupations,2017,HISPANIC OR LATINO,41583.0
6865,Transportation occupations,2017,HISPANIC OR LATINO,66634.0
6870,Material moving occupations,2017,HISPANIC OR LATINO,29458.0
7000,Management occupations,2018,HISPANIC OR LATINO,69176.0
7005,Business and financial operations occupations,2018,HISPANIC OR LATINO,36002.0
7010,Computer and mathematical occupations,2018,HISPANIC OR LATINO,16179.0
7015,Architecture and engineering occupations,2018,HISPANIC OR LATINO,5874.0
7020,"Life, physical, and social science occupations",2018,HISPANIC OR LATINO,4225.0
7025,Community and social service occupations,2018,HISPANIC OR LATINO,16766.0
7030,Legal occupations,2018,HISPANIC OR LATINO,9301.0
7035,"Education, training, and library occupations",2018,HISPANIC OR LATINO,50868.0
7040,"Arts, design, entertainment, sports, and media occupations",2018,HISPANIC OR LATINO,25675.0
7045,Health diagnosing and treating practitioners and other technical occupations,2018,HISPANIC OR LATINO,18342.0
7050,Health technologists and technicians,2018,HISPANIC OR LATINO,12086.0
7055,Healthcare support occupations,2018,HISPANIC OR LATINO,77655.0
7060,"Fire fighting and prevention, and other protective service workers including supervisors",2018,HISPANIC OR LATINO,19937.0
7065,Law enforcement workers including supervisors,2018,HISPANIC OR LATINO,11134.0
7070,Food preparation and serving related occupations,2018,HISPANIC OR LATINO,103249.0
7075,Building and grounds cleaning and maintenance occupations,2018,HISPANIC OR LATINO,95432.0
7080,Personal care and service occupations,2018,HISPANIC OR LATINO,58950.0
7085,Sales and related occupations,2018,HISPANIC OR LATINO,94473.0
7090,Office and administrative support occupations,2018,HISPANIC OR LATINO,115773.0
7095,"Farming, fishing, and forestry occupations",2018,HISPANIC OR LATINO,1002.0
7100,Construction and extraction occupations,2018,HISPANIC OR LATINO,87709.0
7105,"Installation, maintenance, and repair occupations",2018,HISPANIC OR LATINO,23307.0
7110,Production occupations,2018,HISPANIC OR LATINO,37632.0
7115,Transportation occupations,2018,HISPANIC OR LATINO,66003.0
7120,Material moving occupations,2018,HISPANIC OR LATINO,35856.0
7250,Management occupations,2019,HISPANIC OR LATINO,74687.0
7255,Business and financial operations occupations,2019,HISPANIC OR LATINO,34868.0
7260,Computer and mathematical occupations,2019,HISPANIC OR LATINO,13037.0
7265,Architecture and engineering occupations,2019,HISPANIC OR LATINO,8419.0
7270,"Life, physical, and social science occupations",2019,HISPANIC OR LATINO,4852.0
7275,Community and social service occupations,2019,HISPANIC OR LATINO,24730.0
7280,Legal occupations,2019,HISPANIC OR LATINO,10199.0
7285,"Education, training, and library occupations",2019,HISPANIC OR LATINO,55088.0
7290,"Arts, design, entertainment, sports, and media occupations",2019,HISPANIC OR LATINO,25648.0
7295,Health diagnosing and treating practitioners and other technical occupations,2019,HISPANIC OR LATINO,14354.0
7300,Health technologists and technicians,2019,HISPANIC OR LATINO,13463.0
7305,Healthcare support occupations,2019,HISPANIC OR LATINO,86077.0
7310,"Fire fighting and prevention, and other protective service workers including supervisors",2019,HISPANIC OR LATINO,20618.0
