,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",race,year
1420,"Production, transportation, and material moving occupations:_Male",20962.0,28902,6041.0,17336,,BLACK OR AFRICAN AMERICAN ALONE,2019
1421,Production occupations_Male,3556.0,4799,328.0,2338,,BLACK OR AFRICAN AMERICAN ALONE,2019
1422,Transportation occupations_Male,11864.0,16358,3744.0,10772,,BLACK OR AFRICAN AMERICAN ALONE,2019
1423,Material moving occupations_Male,5542.0,7745,1969.0,4226,,BLACK OR AFRICAN AMERICAN ALONE,2019
1424,Female:_Female,118219.0,212254,60757.0,112122,,BLACK OR AFRICAN AMERICAN ALONE,2019
1425,"Management, business, science, and arts occupations:_Female",34918.0,85009,25592.0,44462,,BLACK OR AFRICAN AMERICAN ALONE,2019
1426,"Management, business, and financial occupations:_Female",10066.0,23886,8639.0,12500,,BLACK OR AFRICAN AMERICAN ALONE,2019
1427,Management occupations_Female,6000.0,14318,5745.0,6769,,BLACK OR AFRICAN AMERICAN ALONE,2019
1428,Business and financial operations occupations_Female,4066.0,9568,2894.0,5731,,BLACK OR AFRICAN AMERICAN ALONE,2019
1429,"Computer, engineering, and science occupations:_Female",1610.0,3967,1873.0,2103,,BLACK OR AFRICAN AMERICAN ALONE,2019
1430,Computer and mathematical occupations_Female,1045.0,2445,1741.0,1670,,BLACK OR AFRICAN AMERICAN ALONE,2019
1431,Architecture and engineering occupations_Female,381.0,603,0.0,333,,BLACK OR AFRICAN AMERICAN ALONE,2019
1432,"Life, physical, and social science occupations_Female",184.0,919,132.0,100,,BLACK OR AFRICAN AMERICAN ALONE,2019
1433,"Education, legal, community service, arts, and media occupations:_Female",14328.0,36098,11609.0,19180,,BLACK OR AFRICAN AMERICAN ALONE,2019
1434,Community and social service occupations_Female,5794.0,10820,2558.0,6433,,BLACK OR AFRICAN AMERICAN ALONE,2019
1435,Legal occupations_Female,1423.0,2469,1263.0,1361,,BLACK OR AFRICAN AMERICAN ALONE,2019
1436,"Education, training, and library occupations_Female",5676.0,19334,5373.0,10027,,BLACK OR AFRICAN AMERICAN ALONE,2019
1437,"Arts, design, entertainment, sports, and media occupations_Female",1435.0,3475,2415.0,1359,,BLACK OR AFRICAN AMERICAN ALONE,2019
1438,Healthcare practitioners and technical occupations:_Female,8914.0,21058,3471.0,10679,,BLACK OR AFRICAN AMERICAN ALONE,2019
1439,Health diagnosing and treating practitioners and other technical occupations_Female,6029.0,12660,2108.0,6489,,BLACK OR AFRICAN AMERICAN ALONE,2019
1440,Health technologists and technicians_Female,2885.0,8398,1363.0,4190,,BLACK OR AFRICAN AMERICAN ALONE,2019
1441,Service occupations:_Female,47695.0,71541,19553.0,34187,,BLACK OR AFRICAN AMERICAN ALONE,2019
1442,Healthcare support occupations_Female,25274.0,39251,7557.0,18517,,BLACK OR AFRICAN AMERICAN ALONE,2019
1443,Protective service occupations:_Female,5431.0,8914,2550.0,4337,,BLACK OR AFRICAN AMERICAN ALONE,2019
1444,"Fire fighting and prevention, and other protective service workers including supervisors_Female",3905.0,6054,1794.0,2642,,BLACK OR AFRICAN AMERICAN ALONE,2019
1445,Law enforcement workers including supervisors_Female,1526.0,2860,756.0,1695,,BLACK OR AFRICAN AMERICAN ALONE,2019
1446,Food preparation and serving related occupations_Female,6040.0,5596,1883.0,2365,,BLACK OR AFRICAN AMERICAN ALONE,2019
1447,Building and grounds cleaning and maintenance occupations_Female,4752.0,6418,1950.0,2767,,BLACK OR AFRICAN AMERICAN ALONE,2019
1448,Personal care and service occupations_Female,6198.0,11362,5613.0,6201,,BLACK OR AFRICAN AMERICAN ALONE,2019
1449,Sales and office occupations:_Female,29584.0,45544,13593.0,28843,,BLACK OR AFRICAN AMERICAN ALONE,2019
1450,Sales and related occupations_Female,9987.0,15754,5936.0,9539,,BLACK OR AFRICAN AMERICAN ALONE,2019
1451,Office and administrative support occupations_Female,19597.0,29790,7657.0,19304,,BLACK OR AFRICAN AMERICAN ALONE,2019
1452,"Natural resources, construction, and maintenance occupations:_Female",375.0,905,652.0,779,,BLACK OR AFRICAN AMERICAN ALONE,2019
1453,"Farming, fishing, and forestry occupations_Female",0.0,0,114.0,0,,BLACK OR AFRICAN AMERICAN ALONE,2019
1454,Construction and extraction occupations_Female,303.0,662,196.0,306,,BLACK OR AFRICAN AMERICAN ALONE,2019
1455,"Installation, maintenance, and repair occupations_Female",72.0,243,342.0,473,,BLACK OR AFRICAN AMERICAN ALONE,2019
1456,"Production, transportation, and material moving occupations:_Female",5647.0,9255,1367.0,3851,,BLACK OR AFRICAN AMERICAN ALONE,2019
1457,Production occupations_Female,2222.0,2053,303.0,857,,BLACK OR AFRICAN AMERICAN ALONE,2019
1458,Transportation occupations_Female,2200.0,5023,539.0,1977,,BLACK OR AFRICAN AMERICAN ALONE,2019
1459,Material moving occupations_Female,1225.0,2179,525.0,1017,,BLACK OR AFRICAN AMERICAN ALONE,2019
1460,Total:,272862.0,198296,165478.0,298260,31890.0,HISPANIC OR LATINO,2010
1461,Male:,140811.0,109180,86537.0,172995,17006.0,HISPANIC OR LATINO,2010
1462,"Management, business, science, and arts occupations:_Male",16722.0,16553,21667.0,23523,3476.0,HISPANIC OR LATINO,2010
1463,"Management, business, and financial occupations:_Male",7407.0,7107,10337.0,10973,2027.0,HISPANIC OR LATINO,2010
1464,Management occupations_Male,5541.0,5681,6763.0,7414,1715.0,HISPANIC OR LATINO,2010
1465,Business and financial operations occupations_Male,1866.0,1426,3574.0,3559,312.0,HISPANIC OR LATINO,2010
1466,"Computer, engineering, and science occupations:_Male",2161.0,1676,2603.0,3950,734.0,HISPANIC OR LATINO,2010
1467,Computer and mathematical occupations_Male,1545.0,748,1137.0,2376,522.0,HISPANIC OR LATINO,2010
1468,Architecture and engineering occupations_Male,420.0,590,991.0,1454,212.0,HISPANIC OR LATINO,2010
1469,"Life, physical, and social science occupations_Male",196.0,338,475.0,120,0.0,HISPANIC OR LATINO,2010
1470,"Education, legal, community service, arts, and media occupations:_Male",5914.0,6612,6689.0,6192,468.0,HISPANIC OR LATINO,2010
1471,Community and social service occupations_Male,1619.0,1307,1249.0,1006,0.0,HISPANIC OR LATINO,2010
1472,Legal occupations_Male,249.0,532,567.0,383,75.0,HISPANIC OR LATINO,2010
1473,"Education, training, and library occupations_Male",2548.0,1678,2170.0,2559,68.0,HISPANIC OR LATINO,2010
1474,"Arts, design, entertainment, sports, and media occupations_Male",1498.0,3095,2703.0,2244,325.0,HISPANIC OR LATINO,2010
1475,Healthcare practitioners and technical occupations:_Male,1240.0,1158,2038.0,2408,247.0,HISPANIC OR LATINO,2010
1476,Health diagnosing and treating practitioners and other technical occupations_Male,464.0,330,1576.0,1026,166.0,HISPANIC OR LATINO,2010
1477,Health technologists and technicians_Male,776.0,828,462.0,1382,81.0,HISPANIC OR LATINO,2010
1478,Service occupations:_Male,44552.0,32002,26099.0,49742,4219.0,HISPANIC OR LATINO,2010
1479,Healthcare support occupations_Male,982.0,406,194.0,488,487.0,HISPANIC OR LATINO,2010
1480,Protective service occupations:_Male,6553.0,4705,2884.0,5776,1165.0,HISPANIC OR LATINO,2010
1481,"Fire fighting and prevention, and other protective service workers including supervisors_Male",4786.0,3415,2178.0,3019,729.0,HISPANIC OR LATINO,2010
1482,Law enforcement workers including supervisors_Male,1767.0,1290,706.0,2757,436.0,HISPANIC OR LATINO,2010
1483,Food preparation and serving related occupations_Male,14132.0,13577,11097.0,24163,994.0,HISPANIC OR LATINO,2010
1484,Building and grounds cleaning and maintenance occupations_Male,17356.0,10683,8295.0,14744,919.0,HISPANIC OR LATINO,2010
1485,Personal care and service occupations_Male,5529.0,2631,3629.0,4571,654.0,HISPANIC OR LATINO,2010
1486,Sales and office occupations:_Male,25688.0,20014,16924.0,27284,3201.0,HISPANIC OR LATINO,2010
1487,Sales and related occupations_Male,13067.0,9829,8052.0,12569,2085.0,HISPANIC OR LATINO,2010
1488,Office and administrative support occupations_Male,12621.0,10185,8872.0,14715,1116.0,HISPANIC OR LATINO,2010
1489,"Natural resources, construction, and maintenance occupations:_Male",22346.0,19392,7235.0,39597,3636.0,HISPANIC OR LATINO,2010
1490,"Farming, fishing, and forestry occupations_Male",481.0,0,91.0,0,0.0,HISPANIC OR LATINO,2010
1491,Construction and extraction occupations_Male,15785.0,14849,5140.0,31189,2943.0,HISPANIC OR LATINO,2010
1492,"Installation, maintenance, and repair occupations_Male",6080.0,4543,2004.0,8408,693.0,HISPANIC OR LATINO,2010
1493,"Production, transportation, and material moving occupations:_Male",31503.0,21219,14612.0,32849,2474.0,HISPANIC OR LATINO,2010
1494,Production occupations_Male,9953.0,6499,3403.0,11619,983.0,HISPANIC OR LATINO,2010
1495,Transportation occupations_Male,16687.0,8102,7332.0,15920,1017.0,HISPANIC OR LATINO,2010
1496,Material moving occupations_Male,4863.0,6618,3877.0,5310,474.0,HISPANIC OR LATINO,2010
1497,Female:_Female,132051.0,89116,78941.0,125265,14884.0,HISPANIC OR LATINO,2010
1498,"Management, business, science, and arts occupations:_Female",28390.0,22170,24452.0,29906,5869.0,HISPANIC OR LATINO,2010
1499,"Management, business, and financial occupations:_Female",8023.0,7291,10088.0,11650,2372.0,HISPANIC OR LATINO,2010
1500,Management occupations_Female,5529.0,4083,6660.0,6472,1380.0,HISPANIC OR LATINO,2010
1501,Business and financial operations occupations_Female,2494.0,3208,3428.0,5178,992.0,HISPANIC OR LATINO,2010
1502,"Computer, engineering, and science occupations:_Female",1210.0,1150,1330.0,794,0.0,HISPANIC OR LATINO,2010
1503,Computer and mathematical occupations_Female,364.0,602,416.0,318,0.0,HISPANIC OR LATINO,2010
1504,Architecture and engineering occupations_Female,306.0,439,346.0,297,0.0,HISPANIC OR LATINO,2010
1505,"Life, physical, and social science occupations_Female",540.0,109,568.0,179,0.0,HISPANIC OR LATINO,2010
1506,"Education, legal, community service, arts, and media occupations:_Female",14770.0,11275,10799.0,12838,2309.0,HISPANIC OR LATINO,2010
1507,Community and social service occupations_Female,4568.0,1733,1408.0,2536,295.0,HISPANIC OR LATINO,2010
1508,Legal occupations_Female,1426.0,838,975.0,1785,268.0,HISPANIC OR LATINO,2010
1509,"Education, training, and library occupations_Female",8013.0,6968,5756.0,7236,1485.0,HISPANIC OR LATINO,2010
1510,"Arts, design, entertainment, sports, and media occupations_Female",763.0,1736,2660.0,1281,261.0,HISPANIC OR LATINO,2010
1511,Healthcare practitioners and technical occupations:_Female,4387.0,2454,2235.0,4624,1188.0,HISPANIC OR LATINO,2010
1512,Health diagnosing and treating practitioners and other technical occupations_Female,2421.0,1259,1428.0,2974,821.0,HISPANIC OR LATINO,2010
1513,Health technologists and technicians_Female,1966.0,1195,807.0,1650,367.0,HISPANIC OR LATINO,2010
1514,Service occupations:_Female,55025.0,33478,28449.0,46329,3590.0,HISPANIC OR LATINO,2010
1515,Healthcare support occupations_Female,19441.0,12040,8905.0,9112,669.0,HISPANIC OR LATINO,2010
1516,Protective service occupations:_Female,2076.0,1420,396.0,1858,488.0,HISPANIC OR LATINO,2010
1517,"Fire fighting and prevention, and other protective service workers including supervisors_Female",1568.0,662,296.0,1120,81.0,HISPANIC OR LATINO,2010
1518,Law enforcement workers including supervisors_Female,508.0,758,100.0,738,407.0,HISPANIC OR LATINO,2010
1519,Food preparation and serving related occupations_Female,7721.0,3316,5032.0,6848,370.0,HISPANIC OR LATINO,2010
1520,Building and grounds cleaning and maintenance occupations_Female,9960.0,8241,5822.0,17261,1156.0,HISPANIC OR LATINO,2010
1521,Personal care and service occupations_Female,15827.0,8461,8294.0,11250,907.0,HISPANIC OR LATINO,2010
1522,Sales and office occupations:_Female,40359.0,26988,21476.0,36607,5143.0,HISPANIC OR LATINO,2010
1523,Sales and related occupations_Female,15400.0,8272,9911.0,14049,1681.0,HISPANIC OR LATINO,2010
1524,Office and administrative support occupations_Female,24959.0,18716,11565.0,22558,3462.0,HISPANIC OR LATINO,2010
1525,"Natural resources, construction, and maintenance occupations:_Female",746.0,676,155.0,756,0.0,HISPANIC OR LATINO,2010
1526,"Farming, fishing, and forestry occupations_Female",0.0,0,0.0,55,0.0,HISPANIC OR LATINO,2010
1527,Construction and extraction occupations_Female,390.0,158,0.0,479,0.0,HISPANIC OR LATINO,2010
1528,"Installation, maintenance, and repair occupations_Female",356.0,518,155.0,222,0.0,HISPANIC OR LATINO,2010
1529,"Production, transportation, and material moving occupations:_Female",7531.0,5804,4409.0,11667,282.0,HISPANIC OR LATINO,2010
1530,Production occupations_Female,3559.0,3719,2953.0,6236,228.0,HISPANIC OR LATINO,2010
1531,Transportation occupations_Female,2272.0,492,352.0,1629,54.0,HISPANIC OR LATINO,2010
1532,Material moving occupations_Female,1700.0,1593,1104.0,3802,0.0,HISPANIC OR LATINO,2010
1533,Total:,280050.0,200578,165771.0,296277,34212.0,HISPANIC OR LATINO,2011
1534,Male:,142539.0,111787,87758.0,174292,19354.0,HISPANIC OR LATINO,2011
1535,"Management, business, science, and arts occupations:_Male",17038.0,16805,20846.0,22648,3815.0,HISPANIC OR LATINO,2011
1536,"Management, business, and financial occupations:_Male",7684.0,6522,9480.0,11355,1452.0,HISPANIC OR LATINO,2011
1537,Management occupations_Male,5425.0,4710,6996.0,7406,510.0,HISPANIC OR LATINO,2011
1538,Business and financial operations occupations_Male,2259.0,1812,2484.0,3949,942.0,HISPANIC OR LATINO,2011
1539,"Computer, engineering, and science occupations:_Male",1564.0,3349,2435.0,2673,667.0,HISPANIC OR LATINO,2011
1540,Computer and mathematical occupations_Male,901.0,1761,631.0,1695,339.0,HISPANIC OR LATINO,2011
1541,Architecture and engineering occupations_Male,572.0,1358,731.0,978,328.0,HISPANIC OR LATINO,2011
1542,"Life, physical, and social science occupations_Male",91.0,230,1073.0,0,0.0,HISPANIC OR LATINO,2011
1543,"Education, legal, community service, arts, and media occupations:_Male",6276.0,5972,7837.0,6783,1220.0,HISPANIC OR LATINO,2011
1544,Community and social service occupations_Male,1468.0,784,1305.0,1532,249.0,HISPANIC OR LATINO,2011
1545,Legal occupations_Male,183.0,539,1501.0,508,108.0,HISPANIC OR LATINO,2011
1546,"Education, training, and library occupations_Male",2774.0,1633,1841.0,2007,388.0,HISPANIC OR LATINO,2011
1547,"Arts, design, entertainment, sports, and media occupations_Male",1851.0,3016,3190.0,2736,475.0,HISPANIC OR LATINO,2011
1548,Healthcare practitioners and technical occupations:_Male,1514.0,962,1094.0,1837,476.0,HISPANIC OR LATINO,2011
1549,Health diagnosing and treating practitioners and other technical occupations_Male,250.0,643,540.0,737,98.0,HISPANIC OR LATINO,2011
1550,Health technologists and technicians_Male,1264.0,319,554.0,1100,378.0,HISPANIC OR LATINO,2011
1551,Service occupations:_Male,45392.0,32264,28876.0,56755,6305.0,HISPANIC OR LATINO,2011
1552,Healthcare support occupations_Male,574.0,997,785.0,511,376.0,HISPANIC OR LATINO,2011
1553,Protective service occupations:_Male,8364.0,3230,3357.0,4842,2224.0,HISPANIC OR LATINO,2011
1554,"Fire fighting and prevention, and other protective service workers including supervisors_Male",6379.0,2410,2960.0,3065,719.0,HISPANIC OR LATINO,2011
1555,Law enforcement workers including supervisors_Male,1985.0,820,397.0,1777,1505.0,HISPANIC OR LATINO,2011
1556,Food preparation and serving related occupations_Male,17702.0,14721,12356.0,30597,2137.0,HISPANIC OR LATINO,2011
1557,Building and grounds cleaning and maintenance occupations_Male,14880.0,10180,9577.0,16549,1246.0,HISPANIC OR LATINO,2011
1558,Personal care and service occupations_Male,3872.0,3136,2801.0,4256,322.0,HISPANIC OR LATINO,2011
1559,Sales and office occupations:_Male,33449.0,18555,15813.0,30757,2629.0,HISPANIC OR LATINO,2011
1560,Sales and related occupations_Male,16925.0,8819,6951.0,15901,950.0,HISPANIC OR LATINO,2011
1561,Office and administrative support occupations_Male,16524.0,9736,8862.0,14856,1679.0,HISPANIC OR LATINO,2011
1562,"Natural resources, construction, and maintenance occupations:_Male",22624.0,20934,8001.0,37171,3371.0,HISPANIC OR LATINO,2011
1563,"Farming, fishing, and forestry occupations_Male",2352.0,362,85.0,432,0.0,HISPANIC OR LATINO,2011
1564,Construction and extraction occupations_Male,12963.0,15935,5054.0,30079,2501.0,HISPANIC OR LATINO,2011
1565,"Installation, maintenance, and repair occupations_Male",7309.0,4637,2862.0,6660,870.0,HISPANIC OR LATINO,2011
1566,"Production, transportation, and material moving occupations:_Male",24036.0,23229,14222.0,26961,3234.0,HISPANIC OR LATINO,2011
1567,Production occupations_Male,6323.0,9055,3442.0,9086,1538.0,HISPANIC OR LATINO,2011
1568,Transportation occupations_Male,12212.0,9795,8537.0,12903,955.0,HISPANIC OR LATINO,2011
1569,Material moving occupations_Male,5501.0,4379,2243.0,4972,741.0,HISPANIC OR LATINO,2011
1570,Female:_Female,137511.0,88791,78013.0,121985,14858.0,HISPANIC OR LATINO,2011
1571,"Management, business, science, and arts occupations:_Female",29486.0,21485,24513.0,27503,5629.0,HISPANIC OR LATINO,2011
1572,"Management, business, and financial occupations:_Female",9087.0,6041,8551.0,8731,1017.0,HISPANIC OR LATINO,2011
1573,Management occupations_Female,5975.0,4621,5466.0,5777,489.0,HISPANIC OR LATINO,2011
1574,Business and financial operations occupations_Female,3112.0,1420,3085.0,2954,528.0,HISPANIC OR LATINO,2011
1575,"Computer, engineering, and science occupations:_Female",511.0,1255,974.0,1143,702.0,HISPANIC OR LATINO,2011
1576,Computer and mathematical occupations_Female,256.0,443,47.0,698,243.0,HISPANIC OR LATINO,2011
1577,Architecture and engineering occupations_Female,145.0,199,113.0,275,171.0,HISPANIC OR LATINO,2011
1578,"Life, physical, and social science occupations_Female",110.0,613,814.0,170,288.0,HISPANIC OR LATINO,2011
1579,"Education, legal, community service, arts, and media occupations:_Female",16228.0,11360,12740.0,12457,2575.0,HISPANIC OR LATINO,2011
1580,Community and social service occupations_Female,4004.0,2467,1197.0,2116,321.0,HISPANIC OR LATINO,2011
1581,Legal occupations_Female,980.0,1159,2114.0,1145,172.0,HISPANIC OR LATINO,2011
1582,"Education, training, and library occupations_Female",10036.0,5237,5372.0,7104,2017.0,HISPANIC OR LATINO,2011
1583,"Arts, design, entertainment, sports, and media occupations_Female",1208.0,2497,4057.0,2092,65.0,HISPANIC OR LATINO,2011
1584,Healthcare practitioners and technical occupations:_Female,3660.0,2829,2248.0,5172,1335.0,HISPANIC OR LATINO,2011
1585,Health diagnosing and treating practitioners and other technical occupations_Female,1664.0,1637,1433.0,2718,1031.0,HISPANIC OR LATINO,2011
1586,Health technologists and technicians_Female,1996.0,1192,815.0,2454,304.0,HISPANIC OR LATINO,2011
1587,Service occupations:_Female,59842.0,32269,24969.0,46329,4045.0,HISPANIC OR LATINO,2011
1588,Healthcare support occupations_Female,18242.0,9587,7586.0,9969,1515.0,HISPANIC OR LATINO,2011
1589,Protective service occupations:_Female,3472.0,2244,440.0,1665,562.0,HISPANIC OR LATINO,2011
1590,"Fire fighting and prevention, and other protective service workers including supervisors_Female",2941.0,1612,403.0,1022,141.0,HISPANIC OR LATINO,2011
1591,Law enforcement workers including supervisors_Female,531.0,632,37.0,643,421.0,HISPANIC OR LATINO,2011
1592,Food preparation and serving related occupations_Female,6047.0,4354,4213.0,7335,532.0,HISPANIC OR LATINO,2011
1593,Building and grounds cleaning and maintenance occupations_Female,10392.0,9470,4564.0,15809,1147.0,HISPANIC OR LATINO,2011
1594,Personal care and service occupations_Female,21689.0,6614,8166.0,11551,289.0,HISPANIC OR LATINO,2011
1595,Sales and office occupations:_Female,39892.0,27083,22792.0,36977,4559.0,HISPANIC OR LATINO,2011
1596,Sales and related occupations_Female,15775.0,10045,9513.0,16340,1577.0,HISPANIC OR LATINO,2011
1597,Office and administrative support occupations_Female,24117.0,17038,13279.0,20637,2982.0,HISPANIC OR LATINO,2011
1598,"Natural resources, construction, and maintenance occupations:_Female",1130.0,581,657.0,1460,0.0,HISPANIC OR LATINO,2011
1599,"Farming, fishing, and forestry occupations_Female",99.0,34,0.0,50,0.0,HISPANIC OR LATINO,2011
1600,Construction and extraction occupations_Female,771.0,107,453.0,1297,0.0,HISPANIC OR LATINO,2011
1601,"Installation, maintenance, and repair occupations_Female",260.0,440,204.0,113,0.0,HISPANIC OR LATINO,2011
1602,"Production, transportation, and material moving occupations:_Female",7161.0,7373,5082.0,9716,625.0,HISPANIC OR LATINO,2011
1603,Production occupations_Female,4080.0,4207,3337.0,6094,20.0,HISPANIC OR LATINO,2011
1604,Transportation occupations_Female,1608.0,1372,689.0,1453,605.0,HISPANIC OR LATINO,2011
1605,Material moving occupations_Female,1473.0,1794,1056.0,2169,0.0,HISPANIC OR LATINO,2011
1606,Total:,287048.0,209587,168541.0,306610,36225.0,HISPANIC OR LATINO,2012
1607,Male:,145770.0,118454,88372.0,176836,20066.0,HISPANIC OR LATINO,2012
1608,"Management, business, science, and arts occupations:_Male",19802.0,19324,24344.0,25938,2850.0,HISPANIC OR LATINO,2012
1609,"Management, business, and financial occupations:_Male",9669.0,7769,10384.0,12669,1304.0,HISPANIC OR LATINO,2012
1610,Management occupations_Male,7327.0,5461,8679.0,9694,729.0,HISPANIC OR LATINO,2012
1611,Business and financial operations occupations_Male,2342.0,2308,1705.0,2975,575.0,HISPANIC OR LATINO,2012
1612,"Computer, engineering, and science occupations:_Male",2736.0,2475,3366.0,3504,534.0,HISPANIC OR LATINO,2012
1613,Computer and mathematical occupations_Male,1735.0,1872,1666.0,2020,329.0,HISPANIC OR LATINO,2012
1614,Architecture and engineering occupations_Male,649.0,444,743.0,1178,205.0,HISPANIC OR LATINO,2012
1615,"Life, physical, and social science occupations_Male",352.0,159,957.0,306,0.0,HISPANIC OR LATINO,2012
1616,"Education, legal, community service, arts, and media occupations:_Male",6552.0,7650,9191.0,7747,594.0,HISPANIC OR LATINO,2012
1617,Community and social service occupations_Male,1318.0,1496,1020.0,503,98.0,HISPANIC OR LATINO,2012
1618,Legal occupations_Male,532.0,839,1640.0,965,64.0,HISPANIC OR LATINO,2012
1619,"Education, training, and library occupations_Male",2189.0,2774,4096.0,2704,227.0,HISPANIC OR LATINO,2012
1620,"Arts, design, entertainment, sports, and media occupations_Male",2513.0,2541,2435.0,3575,205.0,HISPANIC OR LATINO,2012
1621,Healthcare practitioners and technical occupations:_Male,845.0,1430,1403.0,2018,418.0,HISPANIC OR LATINO,2012
1622,Health diagnosing and treating practitioners and other technical occupations_Male,487.0,479,1294.0,735,243.0,HISPANIC OR LATINO,2012
1623,Health technologists and technicians_Male,358.0,951,109.0,1283,175.0,HISPANIC OR LATINO,2012
1624,Service occupations:_Male,47746.0,34746,25534.0,51590,5987.0,HISPANIC OR LATINO,2012
1625,Healthcare support occupations_Male,1529.0,1258,509.0,799,181.0,HISPANIC OR LATINO,2012
1626,Protective service occupations:_Male,6032.0,5153,3035.0,5880,1552.0,HISPANIC OR LATINO,2012
1627,"Fire fighting and prevention, and other protective service workers including supervisors_Male",4635.0,3190,2629.0,3802,810.0,HISPANIC OR LATINO,2012
1628,Law enforcement workers including supervisors_Male,1397.0,1963,406.0,2078,742.0,HISPANIC OR LATINO,2012
1629,Food preparation and serving related occupations_Male,20270.0,14693,11580.0,25267,1930.0,HISPANIC OR LATINO,2012
1630,Building and grounds cleaning and maintenance occupations_Male,16742.0,10399,5923.0,14173,1887.0,HISPANIC OR LATINO,2012
1631,Personal care and service occupations_Male,3173.0,3243,4487.0,5471,437.0,HISPANIC OR LATINO,2012
1632,Sales and office occupations:_Male,26004.0,20339,16660.0,27365,2808.0,HISPANIC OR LATINO,2012
1633,Sales and related occupations_Male,11646.0,10634,8661.0,13089,1493.0,HISPANIC OR LATINO,2012
1634,Office and administrative support occupations_Male,14358.0,9705,7999.0,14276,1315.0,HISPANIC OR LATINO,2012
1635,"Natural resources, construction, and maintenance occupations:_Male",19762.0,21686,8060.0,35532,4738.0,HISPANIC OR LATINO,2012
1636,"Farming, fishing, and forestry occupations_Male",577.0,0,0.0,597,0.0,HISPANIC OR LATINO,2012
1637,Construction and extraction occupations_Male,13285.0,16740,5328.0,28866,3911.0,HISPANIC OR LATINO,2012
1638,"Installation, maintenance, and repair occupations_Male",5900.0,4946,2732.0,6069,827.0,HISPANIC OR LATINO,2012
1639,"Production, transportation, and material moving occupations:_Male",32456.0,22359,13774.0,36411,3683.0,HISPANIC OR LATINO,2012
1640,Production occupations_Male,8017.0,7541,4075.0,10692,904.0,HISPANIC OR LATINO,2012
1641,Transportation occupations_Male,16947.0,10682,7229.0,18960,1901.0,HISPANIC OR LATINO,2012
1642,Material moving occupations_Male,7492.0,4136,2470.0,6759,878.0,HISPANIC OR LATINO,2012
1643,Female:_Female,141278.0,91133,80169.0,129774,16159.0,HISPANIC OR LATINO,2012
1644,"Management, business, science, and arts occupations:_Female",29622.0,23054,25476.0,29236,5927.0,HISPANIC OR LATINO,2012
1645,"Management, business, and financial occupations:_Female",9217.0,6858,7408.0,10128,1193.0,HISPANIC OR LATINO,2012
1646,Management occupations_Female,5871.0,4362,4628.0,6099,811.0,HISPANIC OR LATINO,2012
1647,Business and financial operations occupations_Female,3346.0,2496,2780.0,4029,382.0,HISPANIC OR LATINO,2012
1648,"Computer, engineering, and science occupations:_Female",928.0,1006,1209.0,1326,326.0,HISPANIC OR LATINO,2012
1649,Computer and mathematical occupations_Female,470.0,273,861.0,627,211.0,HISPANIC OR LATINO,2012
1650,Architecture and engineering occupations_Female,26.0,316,0.0,500,115.0,HISPANIC OR LATINO,2012
1651,"Life, physical, and social science occupations_Female",432.0,417,348.0,199,0.0,HISPANIC OR LATINO,2012
1652,"Education, legal, community service, arts, and media occupations:_Female",16511.0,12417,12727.0,11794,3822.0,HISPANIC OR LATINO,2012
1653,Community and social service occupations_Female,3907.0,2859,1174.0,2837,1054.0,HISPANIC OR LATINO,2012
1654,Legal occupations_Female,362.0,1077,2206.0,826,290.0,HISPANIC OR LATINO,2012
1655,"Education, training, and library occupations_Female",10436.0,6255,6586.0,6960,2394.0,HISPANIC OR LATINO,2012
1656,"Arts, design, entertainment, sports, and media occupations_Female",1806.0,2226,2761.0,1171,84.0,HISPANIC OR LATINO,2012
1657,Healthcare practitioners and technical occupations:_Female,2966.0,2773,4132.0,5988,586.0,HISPANIC OR LATINO,2012
1658,Health diagnosing and treating practitioners and other technical occupations_Female,1589.0,2125,2803.0,3894,164.0,HISPANIC OR LATINO,2012
1659,Health technologists and technicians_Female,1377.0,648,1329.0,2094,422.0,HISPANIC OR LATINO,2012
1660,Service occupations:_Female,58158.0,35208,28133.0,48916,5361.0,HISPANIC OR LATINO,2012
1661,Healthcare support occupations_Female,16867.0,10989,10812.0,8977,1557.0,HISPANIC OR LATINO,2012
1662,Protective service occupations:_Female,3784.0,2100,1272.0,1343,511.0,HISPANIC OR LATINO,2012
1663,"Fire fighting and prevention, and other protective service workers including supervisors_Female",2307.0,1430,738.0,581,70.0,HISPANIC OR LATINO,2012
1664,Law enforcement workers including supervisors_Female,1477.0,670,534.0,762,441.0,HISPANIC OR LATINO,2012
1665,Food preparation and serving related occupations_Female,8179.0,4106,4630.0,8058,845.0,HISPANIC OR LATINO,2012
1666,Building and grounds cleaning and maintenance occupations_Female,10417.0,10138,3845.0,18994,849.0,HISPANIC OR LATINO,2012
1667,Personal care and service occupations_Female,18911.0,7875,7574.0,11544,1599.0,HISPANIC OR LATINO,2012
1668,Sales and office occupations:_Female,43702.0,26012,21154.0,41073,4503.0,HISPANIC OR LATINO,2012
1669,Sales and related occupations_Female,18275.0,10117,8954.0,14064,2036.0,HISPANIC OR LATINO,2012
1670,Office and administrative support occupations_Female,25427.0,15895,12200.0,27009,2467.0,HISPANIC OR LATINO,2012
1671,"Natural resources, construction, and maintenance occupations:_Female",737.0,369,176.0,795,151.0,HISPANIC OR LATINO,2012
