,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,race,Gender
40,Management occupations,551,4442,11092,8872,257.0,2014,Asian Alone,Female
41,Business and financial operations occupations,331,4547,8454,9744,562.0,2014,Asian Alone,Female
42,"Computer, engineering, and science occupations:",433,2741,2819,4158,382.0,2014,Asian Alone,Female
43,Computer and mathematical occupations,61,1529,1382,2340,300.0,2014,Asian Alone,Female
44,Architecture and engineering occupations,30,857,411,506,0.0,2014,Asian Alone,Female
45,"Life, physical, and social science occupations",342,355,1026,1312,82.0,2014,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",759,9718,10093,14217,1332.0,2014,Asian Alone,Female
47,Community and social service occupations,0,1055,535,1627,46.0,2014,Asian Alone,Female
48,Legal occupations,71,1120,2018,1739,39.0,2014,Asian Alone,Female
49,"Education, training, and library occupations",542,3896,3299,7256,810.0,2014,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",146,3647,4241,3595,437.0,2014,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,2013,4718,4675,13789,1402.0,2014,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1770,3650,4023,10409,1167.0,2014,Asian Alone,Female
53,Health technologists and technicians,243,1068,652,3380,235.0,2014,Asian Alone,Female
54,Service occupations:,3601,21091,8005,34991,1886.0,2014,Asian Alone,Female
55,Healthcare support occupations,516,5731,2173,7044,560.0,2014,Asian Alone,Female
56,Protective service occupations:,0,82,43,219,79.0,2014,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",0,43,43,219,36.0,2014,Asian Alone,Female
58,Law enforcement workers including supervisors,0,39,0,0,43.0,2014,Asian Alone,Female
59,Food preparation and serving related occupations,471,4583,2040,6176,432.0,2014,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,448,2126,824,3553,152.0,2014,Asian Alone,Female
61,Personal care and service occupations,2166,8569,2925,17999,663.0,2014,Asian Alone,Female
62,Sales and office occupations:,3253,17417,11960,32840,2624.0,2014,Asian Alone,Female
63,Sales and related occupations,2370,8101,5537,14298,1472.0,2014,Asian Alone,Female
64,Office and administrative support occupations,883,9316,6423,18542,1152.0,2014,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,272,179,436,0.0,2014,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,0,62,0,0.0,2014,Asian Alone,Female
67,Construction and extraction occupations,0,87,117,126,0.0,2014,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,185,0,310,0.0,2014,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",243,5636,1141,6180,250.0,2014,Asian Alone,Female
70,Production occupations,86,4984,1047,5108,211.0,2014,Asian Alone,Female
71,Transportation occupations,0,143,0,349,0.0,2014,Asian Alone,Female
72,Material moving occupations,157,509,94,723,39.0,2014,Asian Alone,Female
0,Total:,23418,155487,110609,288735,18219.0,2015,Asian Alone,Total
1,Male:,13451,80736,52905,158537,10225.0,2015,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",4923,26090,34133,50590,3763.0,2015,Asian Alone,Male
3,"Management, business, and financial occupations:",1626,9744,16879,22426,1331.0,2015,Asian Alone,Male
4,Management occupations,1270,6704,8888,13589,297.0,2015,Asian Alone,Male
5,Business and financial operations occupations,356,3040,7991,8837,1034.0,2015,Asian Alone,Male
6,"Computer, engineering, and science occupations:",1091,7512,7977,13604,965.0,2015,Asian Alone,Male
7,Computer and mathematical occupations,454,5352,4897,9338,370.0,2015,Asian Alone,Male
8,Architecture and engineering occupations,388,1447,1380,3381,367.0,2015,Asian Alone,Male
9,"Life, physical, and social science occupations",249,713,1700,885,228.0,2015,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",1137,5743,6330,8486,715.0,2015,Asian Alone,Male
11,Community and social service occupations,170,318,258,2021,239.0,2015,Asian Alone,Male
12,Legal occupations,203,1068,657,654,100.0,2015,Asian Alone,Male
13,"Education, training, and library occupations",611,1440,1392,3017,326.0,2015,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",153,2917,4023,2794,50.0,2015,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,1069,3091,2947,6074,752.0,2015,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,736,2064,2917,4816,540.0,2015,Asian Alone,Male
17,Health technologists and technicians,333,1027,30,1258,212.0,2015,Asian Alone,Male
18,Service occupations:,3745,18308,6300,29001,1356.0,2015,Asian Alone,Male
19,Healthcare support occupations,87,421,265,1733,311.0,2015,Asian Alone,Male
20,Protective service occupations:,470,1477,652,3703,414.0,2015,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",437,825,652,1669,208.0,2015,Asian Alone,Male
22,Law enforcement workers including supervisors,33,652,0,2034,206.0,2015,Asian Alone,Male
23,Food preparation and serving related occupations,2299,12584,4535,17262,211.0,2015,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,471,2026,307,3207,168.0,2015,Asian Alone,Male
25,Personal care and service occupations,418,1800,541,3096,252.0,2015,Asian Alone,Male
26,Sales and office occupations:,1848,14871,8365,33073,2613.0,2015,Asian Alone,Male
27,Sales and related occupations,1098,7571,5461,19996,1619.0,2015,Asian Alone,Male
28,Office and administrative support occupations,750,7300,2904,13077,994.0,2015,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",1016,8402,854,13480,699.0,2015,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,301,0,292,97.0,2015,Asian Alone,Male
31,Construction and extraction occupations,550,5746,491,8390,400.0,2015,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",466,2355,363,4798,202.0,2015,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",1919,13065,3253,32393,1794.0,2015,Asian Alone,Male
34,Production occupations,642,2832,470,6790,341.0,2015,Asian Alone,Male
35,Transportation occupations,922,9253,2247,23510,1331.0,2015,Asian Alone,Male
36,Material moving occupations,355,980,536,2093,122.0,2015,Asian Alone,Male
37,Female:,9967,74751,57704,130198,7994.0,2015,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",4298,29716,36221,54021,3613.0,2015,Asian Alone,Female
39,"Management, business, and financial occupations:",754,12333,14326,18049,1225.0,2015,Asian Alone,Female
40,Management occupations,309,5916,7608,8459,419.0,2015,Asian Alone,Female
41,Business and financial operations occupations,445,6417,6718,9590,806.0,2015,Asian Alone,Female
42,"Computer, engineering, and science occupations:",910,2616,4127,4896,58.0,2015,Asian Alone,Female
43,Computer and mathematical occupations,550,1468,1888,3002,0.0,2015,Asian Alone,Female
44,Architecture and engineering occupations,0,365,769,679,0.0,2015,Asian Alone,Female
45,"Life, physical, and social science occupations",360,783,1470,1215,58.0,2015,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",929,9982,11591,15281,324.0,2015,Asian Alone,Female
47,Community and social service occupations,58,640,532,1072,179.0,2015,Asian Alone,Female
48,Legal occupations,172,1452,1738,1236,0.0,2015,Asian Alone,Female
49,"Education, training, and library occupations",526,4105,4633,7903,145.0,2015,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",173,3785,4688,5070,0.0,2015,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1705,4785,6177,15795,2006.0,2015,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1342,3763,5237,12510,1571.0,2015,Asian Alone,Female
53,Health technologists and technicians,363,1022,940,3285,435.0,2015,Asian Alone,Female
54,Service occupations:,2174,22150,7694,32768,1961.0,2015,Asian Alone,Female
55,Healthcare support occupations,686,7992,2078,7033,685.0,2015,Asian Alone,Female
56,Protective service occupations:,0,147,679,844,366.0,2015,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",0,147,549,690,0.0,2015,Asian Alone,Female
58,Law enforcement workers including supervisors,0,0,130,154,366.0,2015,Asian Alone,Female
59,Food preparation and serving related occupations,302,5985,1649,4696,227.0,2015,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,362,1532,555,4648,237.0,2015,Asian Alone,Female
61,Personal care and service occupations,824,6494,2733,15547,446.0,2015,Asian Alone,Female
62,Sales and office occupations:,3008,18075,12827,38494,2159.0,2015,Asian Alone,Female
63,Sales and related occupations,1014,8237,5550,16193,930.0,2015,Asian Alone,Female
64,Office and administrative support occupations,1994,9838,7277,22301,1229.0,2015,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",47,291,37,517,0.0,2015,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,0,0,0,0.0,2015,Asian Alone,Female
67,Construction and extraction occupations,0,169,0,355,0.0,2015,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",47,122,37,162,0.0,2015,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",440,4519,925,4398,261.0,2015,Asian Alone,Female
70,Production occupations,381,3645,925,3034,208.0,2015,Asian Alone,Female
71,Transportation occupations,59,298,0,886,0.0,2015,Asian Alone,Female
72,Material moving occupations,0,576,0,478,53.0,2015,Asian Alone,Female
0,Total:,24106,156450,113435,294131,19851.0,2016,Asian Alone,Total
1,Male:,13489,80651,50793,160936,10130.0,2016,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",3984,27312,32512,52169,4992.0,2016,Asian Alone,Male
3,"Management, business, and financial occupations:",1148,10248,14859,22453,2421.0,2016,Asian Alone,Male
4,Management occupations,723,6979,8643,14376,1459.0,2016,Asian Alone,Male
5,Business and financial operations occupations,425,3269,6216,8077,962.0,2016,Asian Alone,Male
6,"Computer, engineering, and science occupations:",717,8124,7523,12380,1445.0,2016,Asian Alone,Male
7,Computer and mathematical occupations,565,5728,5778,7970,967.0,2016,Asian Alone,Male
8,Architecture and engineering occupations,53,1936,1271,3160,323.0,2016,Asian Alone,Male
9,"Life, physical, and social science occupations",99,460,474,1250,155.0,2016,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",1107,5957,5462,9591,322.0,2016,Asian Alone,Male
11,Community and social service occupations,171,359,231,1939,54.0,2016,Asian Alone,Male
12,Legal occupations,108,704,1942,1083,0.0,2016,Asian Alone,Male
13,"Education, training, and library occupations",727,2101,1567,4326,153.0,2016,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",101,2793,1722,2243,115.0,2016,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,1012,2983,4668,7745,804.0,2016,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,656,2059,4179,6120,654.0,2016,Asian Alone,Male
17,Health technologists and technicians,356,924,489,1625,150.0,2016,Asian Alone,Male
18,Service occupations:,4122,16492,5933,33161,2028.0,2016,Asian Alone,Male
19,Healthcare support occupations,536,1089,308,1793,316.0,2016,Asian Alone,Male
20,Protective service occupations:,469,1212,438,4570,57.0,2016,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",270,521,438,3006,0.0,2016,Asian Alone,Male
22,Law enforcement workers including supervisors,199,691,0,1564,57.0,2016,Asian Alone,Male
23,Food preparation and serving related occupations,1924,10712,3914,19245,1174.0,2016,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,430,1741,584,3611,377.0,2016,Asian Alone,Male
25,Personal care and service occupations,763,1738,689,3942,104.0,2016,Asian Alone,Male
26,Sales and office occupations:,2400,14389,7835,32016,1523.0,2016,Asian Alone,Male
27,Sales and related occupations,1395,7964,4909,16725,1012.0,2016,Asian Alone,Male
28,Office and administrative support occupations,1005,6425,2926,15291,511.0,2016,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",849,5972,1318,13331,631.0,2016,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,66,0,158,0.0,2016,Asian Alone,Male
31,Construction and extraction occupations,537,4490,796,9010,266.0,2016,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",312,1416,522,4163,365.0,2016,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",2134,16486,3195,30259,956.0,2016,Asian Alone,Male
34,Production occupations,385,3469,1623,5586,148.0,2016,Asian Alone,Male
35,Transportation occupations,1469,11515,1572,22642,762.0,2016,Asian Alone,Male
36,Material moving occupations,280,1502,0,2031,46.0,2016,Asian Alone,Male
37,Female:,10617,75799,62642,133195,9721.0,2016,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",5324,30452,40629,48449,5578.0,2016,Asian Alone,Female
39,"Management, business, and financial occupations:",1885,11945,16646,15981,1930.0,2016,Asian Alone,Female
40,Management occupations,1378,6642,8778,7778,1015.0,2016,Asian Alone,Female
41,Business and financial operations occupations,507,5303,7868,8203,915.0,2016,Asian Alone,Female
42,"Computer, engineering, and science occupations:",474,3084,5653,3721,365.0,2016,Asian Alone,Female
43,Computer and mathematical occupations,240,1692,3176,2502,284.0,2016,Asian Alone,Female
44,Architecture and engineering occupations,29,899,0,671,0.0,2016,Asian Alone,Female
45,"Life, physical, and social science occupations",205,493,2477,548,81.0,2016,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",1186,10399,11670,14258,907.0,2016,Asian Alone,Female
47,Community and social service occupations,76,694,1000,2160,55.0,2016,Asian Alone,Female
48,Legal occupations,0,866,2749,1702,53.0,2016,Asian Alone,Female
49,"Education, training, and library occupations",818,4777,4085,7029,609.0,2016,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",292,4062,3836,3367,190.0,2016,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1779,5024,6660,14489,2376.0,2016,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1451,4179,6044,12059,2012.0,2016,Asian Alone,Female
53,Health technologists and technicians,328,845,616,2430,364.0,2016,Asian Alone,Female
54,Service occupations:,2438,20682,8424,36945,1170.0,2016,Asian Alone,Female
55,Healthcare support occupations,667,9052,2521,7619,357.0,2016,Asian Alone,Female
56,Protective service occupations:,0,280,0,526,0.0,2016,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",0,170,0,428,0.0,2016,Asian Alone,Female
58,Law enforcement workers including supervisors,0,110,0,98,0.0,2016,Asian Alone,Female
59,Food preparation and serving related occupations,336,4741,1971,6080,42.0,2016,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,734,1699,1508,3591,280.0,2016,Asian Alone,Female
61,Personal care and service occupations,701,4910,2424,19129,491.0,2016,Asian Alone,Female
62,Sales and office occupations:,2470,19277,11823,40603,2320.0,2016,Asian Alone,Female
63,Sales and related occupations,1394,7767,4686,18728,845.0,2016,Asian Alone,Female
64,Office and administrative support occupations,1076,11510,7137,21875,1475.0,2016,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,301,314,812,0.0,2016,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,31,0,309,0.0,2016,Asian Alone,Female
67,Construction and extraction occupations,0,62,165,190,0.0,2016,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,208,149,313,0.0,2016,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",385,5087,1452,6386,653.0,2016,Asian Alone,Female
70,Production occupations,313,4040,1113,4432,628.0,2016,Asian Alone,Female
71,Transportation occupations,0,143,0,777,25.0,2016,Asian Alone,Female
72,Material moving occupations,72,904,339,1177,0.0,2016,Asian Alone,Female
0,Total:,25782,157908,119627,311177,,2017,Asian Alone,Total
1,Male:,15065,81231,56074,171461,,2017,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",3951,28563,34882,53555,,2017,Asian Alone,Male
3,"Management, business, and financial occupations:",1961,11391,16815,25489,,2017,Asian Alone,Male
4,Management occupations,1093,7068,9813,16509,,2017,Asian Alone,Male
5,Business and financial operations occupations,868,4323,7002,8980,,2017,Asian Alone,Male
6,"Computer, engineering, and science occupations:",504,7850,8964,14182,,2017,Asian Alone,Male
7,Computer and mathematical occupations,203,6225,5387,10855,,2017,Asian Alone,Male
8,Architecture and engineering occupations,115,1225,1252,2244,,2017,Asian Alone,Male
9,"Life, physical, and social science occupations",186,400,2325,1083,,2017,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",407,5575,6198,7109,,2017,Asian Alone,Male
11,Community and social service occupations,85,621,414,1109,,2017,Asian Alone,Male
12,Legal occupations,0,377,1705,900,,2017,Asian Alone,Male
13,"Education, training, and library occupations",322,1613,1479,2641,,2017,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",0,2964,2600,2459,,2017,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,1079,3747,2905,6775,,2017,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,656,3132,2564,4918,,2017,Asian Alone,Male
17,Health technologists and technicians,423,615,341,1857,,2017,Asian Alone,Male
18,Service occupations:,3986,16241,7913,34609,,2017,Asian Alone,Male
19,Healthcare support occupations,196,976,139,2538,,2017,Asian Alone,Male
20,Protective service occupations:,828,911,605,3003,,2017,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",293,178,336,1595,,2017,Asian Alone,Male
22,Law enforcement workers including supervisors,535,733,269,1408,,2017,Asian Alone,Male
23,Food preparation and serving related occupations,2032,10845,4462,20909,,2017,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,508,1520,1612,3908,,2017,Asian Alone,Male
25,Personal care and service occupations,422,1989,1095,4251,,2017,Asian Alone,Male
26,Sales and office occupations:,3020,15108,8337,34508,,2017,Asian Alone,Male
27,Sales and related occupations,2066,7430,4885,19865,,2017,Asian Alone,Male
28,Office and administrative support occupations,954,7678,3452,14643,,2017,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",749,6845,1829,16858,,2017,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,137,0,73,,2017,Asian Alone,Male
31,Construction and extraction occupations,469,4870,1775,10882,,2017,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",280,1838,54,5903,,2017,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",3359,14474,3113,31931,,2017,Asian Alone,Male
34,Production occupations,688,3805,1366,5052,,2017,Asian Alone,Male
35,Transportation occupations,2287,8943,1452,24172,,2017,Asian Alone,Male
36,Material moving occupations,384,1726,295,2707,,2017,Asian Alone,Male
37,Female:,10717,76677,63553,139716,,2017,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",4158,32566,38954,54072,,2017,Asian Alone,Female
39,"Management, business, and financial occupations:",1120,11476,13662,18150,,2017,Asian Alone,Female
40,Management occupations,651,5869,7214,8807,,2017,Asian Alone,Female
41,Business and financial operations occupations,469,5607,6448,9343,,2017,Asian Alone,Female
42,"Computer, engineering, and science occupations:",154,3139,3717,3555,,2017,Asian Alone,Female
43,Computer and mathematical occupations,84,1785,2100,1691,,2017,Asian Alone,Female
44,Architecture and engineering occupations,0,541,874,1072,,2017,Asian Alone,Female
45,"Life, physical, and social science occupations",70,813,743,792,,2017,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",1324,11781,13648,16496,,2017,Asian Alone,Female
47,Community and social service occupations,101,997,834,2394,,2017,Asian Alone,Female
48,Legal occupations,58,805,1872,1130,,2017,Asian Alone,Female
49,"Education, training, and library occupations",1165,6398,5756,9855,,2017,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",0,3581,5186,3117,,2017,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1560,6170,7927,15871,,2017,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1331,5014,6719,12413,,2017,Asian Alone,Female
53,Health technologists and technicians,229,1156,1208,3458,,2017,Asian Alone,Female
54,Service occupations:,3920,21936,9392,39783,,2017,Asian Alone,Female
55,Healthcare support occupations,1808,7565,2914,9002,,2017,Asian Alone,Female
56,Protective service occupations:,64,185,85,1133,,2017,Asian Alone,Female
57,"Fire fighting and prevention, and other protective service workers including supervisors",0,149,85,592,,2017,Asian Alone,Female
58,Law enforcement workers including supervisors,64,36,0,541,,2017,Asian Alone,Female
59,Food preparation and serving related occupations,342,4304,1300,7801,,2017,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,259,997,887,5639,,2017,Asian Alone,Female
61,Personal care and service occupations,1447,8885,4206,16208,,2017,Asian Alone,Female
62,Sales and office occupations:,2388,17436,12822,40779,,2017,Asian Alone,Female
63,Sales and related occupations,1310,7966,7099,17535,,2017,Asian Alone,Female
64,Office and administrative support occupations,1078,9470,5723,23244,,2017,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,204,456,400,,2017,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,85,0,179,,2017,Asian Alone,Female
67,Construction and extraction occupations,0,0,456,137,,2017,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,119,0,84,,2017,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",251,4535,1929,4682,,2017,Asian Alone,Female
70,Production occupations,251,3434,1421,3157,,2017,Asian Alone,Female
71,Transportation occupations,0,224,92,591,,2017,Asian Alone,Female
72,Material moving occupations,0,877,416,934,,2017,Asian Alone,Female
0,Total:,25245,155112,117209,304406,24312.0,2018,Asian Alone,Total
1,Male:,14116,79242,51758,164773,12425.0,2018,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",4707,29043,38403,51575,5286.0,2018,Asian Alone,Male
3,"Management, business, and financial occupations:",1578,9365,18499,20966,1998.0,2018,Asian Alone,Male
4,Management occupations,1148,5278,13472,12324,959.0,2018,Asian Alone,Male
5,Business and financial operations occupations,430,4087,5027,8642,1039.0,2018,Asian Alone,Male
6,"Computer, engineering, and science occupations:",592,9380,11436,14956,1546.0,2018,Asian Alone,Male
7,Computer and mathematical occupations,452,6604,7881,9743,871.0,2018,Asian Alone,Male
8,Architecture and engineering occupations,115,1916,1554,4047,594.0,2018,Asian Alone,Male
9,"Life, physical, and social science occupations",25,860,2001,1166,81.0,2018,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",883,7746,5502,8660,815.0,2018,Asian Alone,Male
11,Community and social service occupations,176,403,260,1365,109.0,2018,Asian Alone,Male
12,Legal occupations,92,1195,1511,934,159.0,2018,Asian Alone,Male
13,"Educational instruction, and library occupations",300,2264,2179,3629,270.0,2018,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",315,3884,1552,2732,277.0,2018,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,1654,2552,2966,6993,927.0,2018,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,1151,2057,2715,4658,491.0,2018,Asian Alone,Male
17,Health technologists and technicians,503,495,251,2335,436.0,2018,Asian Alone,Male
18,Service occupations:,4171,16359,4206,27341,1966.0,2018,Asian Alone,Male
19,Healthcare support occupations,261,1630,374,2957,584.0,2018,Asian Alone,Male
20,Protective service occupations:,833,1516,444,3949,183.0,2018,Asian Alone,Male
21,"Firefighting and prevention, and other protective service workers including supervisors",421,845,352,2075,115.0,2018,Asian Alone,Male
22,Law enforcement workers including supervisors,412,671,92,1874,68.0,2018,Asian Alone,Male
23,Food preparation and serving related occupations,2190,10792,2223,13692,891.0,2018,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,516,1638,505,3272,279.0,2018,Asian Alone,Male
25,Personal care and service occupations,371,783,660,3471,29.0,2018,Asian Alone,Male
26,Sales and office occupations:,2575,12093,5774,32337,2390.0,2018,Asian Alone,Male
27,Sales and related occupations,1887,7543,4008,18797,745.0,2018,Asian Alone,Male
28,Office and administrative support occupations,688,4550,1766,13540,1645.0,2018,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",642,6462,827,13643,712.0,2018,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",0,0,0,0,0.0,2018,Asian Alone,Male
31,Construction and extraction occupations,304,4653,744,9026,385.0,2018,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",338,1809,83,4617,327.0,2018,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",2021,15285,2548,39877,2071.0,2018,Asian Alone,Male
34,Production occupations,374,2253,536,5284,648.0,2018,Asian Alone,Male
35,Transportation occupations,1500,11281,1064,30739,1281.0,2018,Asian Alone,Male
36,Material moving occupations,147,1751,948,3854,142.0,2018,Asian Alone,Male
37,Female:,11129,75870,65451,139633,11887.0,2018,Asian Alone,Total Female
38,"Management, business, science, and arts occupations:",5213,32594,41417,55825,5200.0,2018,Asian Alone,Female
39,"Management, business, and financial occupations:",1604,12372,16636,21470,1846.0,2018,Asian Alone,Female
40,Management occupations,564,6664,7895,9413,767.0,2018,Asian Alone,Female
41,Business and financial operations occupations,1040,5708,8741,12057,1079.0,2018,Asian Alone,Female
42,"Computer, engineering, and science occupations:",420,3333,5795,4066,427.0,2018,Asian Alone,Female
43,Computer and mathematical occupations,148,2181,3061,2208,267.0,2018,Asian Alone,Female
44,Architecture and engineering occupations,48,702,841,769,0.0,2018,Asian Alone,Female
45,"Life, physical, and social science occupations",224,450,1893,1089,160.0,2018,Asian Alone,Female
46,"Education, legal, community service, arts, and media occupations:",1438,11371,13358,12210,853.0,2018,Asian Alone,Female
47,Community and social service occupations,419,944,388,884,185.0,2018,Asian Alone,Female
48,Legal occupations,126,1086,2294,1281,291.0,2018,Asian Alone,Female
49,"Educational instruction, and library occupations",893,4612,5009,6624,213.0,2018,Asian Alone,Female
50,"Arts, design, entertainment, sports, and media occupations",0,4729,5667,3421,164.0,2018,Asian Alone,Female
51,Healthcare practitioners and technical occupations:,1751,5518,5628,18079,2074.0,2018,Asian Alone,Female
52,Health diagnosing and treating practitioners and other technical occupations,1386,3535,5110,13013,1918.0,2018,Asian Alone,Female
53,Health technologists and technicians,365,1983,518,5066,156.0,2018,Asian Alone,Female
54,Service occupations:,3438,21623,8242,40006,3141.0,2018,Asian Alone,Female
55,Healthcare support occupations,1500,11233,3062,15453,926.0,2018,Asian Alone,Female
56,Protective service occupations:,126,224,58,792,44.0,2018,Asian Alone,Female
57,"Firefighting and prevention, and other protective service workers including supervisors",0,42,58,631,44.0,2018,Asian Alone,Female
58,Law enforcement workers including supervisors,126,182,0,161,0.0,2018,Asian Alone,Female
59,Food preparation and serving related occupations,835,3837,1890,7771,902.0,2018,Asian Alone,Female
60,Building and grounds cleaning and maintenance occupations,58,1727,1132,4383,508.0,2018,Asian Alone,Female
61,Personal care and service occupations,919,4602,2100,11607,761.0,2018,Asian Alone,Female
62,Sales and office occupations:,2038,17898,14305,36756,2949.0,2018,Asian Alone,Female
63,Sales and related occupations,771,7339,7133,17223,948.0,2018,Asian Alone,Female
64,Office and administrative support occupations,1267,10559,7172,19533,2001.0,2018,Asian Alone,Female
65,"Natural resources, construction, and maintenance occupations:",0,406,455,368,0.0,2018,Asian Alone,Female
66,"Farming, fishing, and forestry occupations",0,0,0,29,0.0,2018,Asian Alone,Female
67,Construction and extraction occupations,0,406,455,200,0.0,2018,Asian Alone,Female
68,"Installation, maintenance, and repair occupations",0,0,0,139,0.0,2018,Asian Alone,Female
69,"Production, transportation, and material moving occupations:",440,3349,1032,6678,597.0,2018,Asian Alone,Female
70,Production occupations,405,2556,801,4230,597.0,2018,Asian Alone,Female
71,Transportation occupations,0,218,103,1038,0.0,2018,Asian Alone,Female
72,Material moving occupations,35,575,128,1410,0.0,2018,Asian Alone,Female
0,Total:,25415,156344,117691,300826,26529.0,2019,Asian Alone,Total
1,Male:,13611,79255,54989,156862,13498.0,2019,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",4023,28396,36282,56179,5397.0,2019,Asian Alone,Male
3,"Management, business, and financial occupations:",1606,11316,18079,24654,1919.0,2019,Asian Alone,Male
4,Management occupations,940,6310,10578,14934,1126.0,2019,Asian Alone,Male
5,Business and financial operations occupations,666,5006,7501,9720,793.0,2019,Asian Alone,Male
6,"Computer, engineering, and science occupations:",415,8439,7697,13368,1214.0,2019,Asian Alone,Male
7,Computer and mathematical occupations,383,6203,5299,9514,774.0,2019,Asian Alone,Male
